"age","repub","MIP"
45,0,"youth violence"
35,0,"cost of college and secondary education"
52,0,"drugs..."
51,1,"rascism"
23,0,"teen crime"
36,1,"lack of obidience to god"
21,0,"lack of awareness of critcal current issues (like govermental)"
58,1,"not enough money for kids in the schools"
31,1,"school"
51,0,"debt"
82,1,"crooks and criminals and lawyers that get them out of jail where they go back to"
27,0,"crime"
67,0,""
78,0,"dope and teenage drinking"
26,0,"economics"
36,0,"guns"
71,1,"too much drugs"
63,1,"drug addicition"
23,1,"schools and education"
46,0,"moral dilema"
46,0,"The economy."
42,0,"people on welfare who shouldn;t be on it"
44,1,"environmental"
66,0,"lack of respect lae familu amnd everything"
63,1,"violence"
62,1,"drugs"
35,0,"drugs (elab) it is what is affecting the most to the country, for youth."
46,0,"work ethic-we don't have one anymore"
65,1,"moralism (expound) the morality of our country is going fine"
42,1,"Economy"
76,1,""
47,1,"dealing with the economic depribe (spec) how to make people poor feeling in the "
59,0,"education"
74,0,"young people"
77,1,"children"
59,0,"gun control"
54,1,"violence"
42,0,"clinton administration"
54,1,"welfare"
89,1,"telemarketers"
44,1,""
20,1,"division in religion"
63,0,"taxes and education"
64,0,"presidential election ,confused on who to vote for"
36,1,"crime"
55,1,"Family"
36,0,"abuse and neglect of children"
81,0,"good leadership"
48,1,"everyone isnt equal"
76,0,""
58,1,""
52,1,"social security"
32,1,"drugs (elab) violence"
79,1,"telephone solitications"
28,1,"Parents communication with children."
33,1,"poverty"
40,1,"drugs"
36,1,"gun control"
71,0,"politicians in washington are only concerned with being reelected"
33,1,"aides issue"
50,0,""
72,1,"leadership"
75,1,""
38,1,"distribution of resourses"
36,0,"ecology"
25,1,"homelessness"
35,0,"violence"
21,0,"homlessness"
66,0,""
30,0,"against affirmative action"
68,0,"integrity of the president"
20,1,"freedom of speech."
68,1,"drugs (how) causing allot of killing"
57,0,"ECONOMY"
22,1,"healthcare,how mds are forced to cut corners,how they rcve benefits for doing it"
44,0,"government is too large"
38,1,""
30,0,""
44,0,""
42,0,"delinquency (elab) it is related to drugs and much more problems.."
33,0,"taxes"
44,0,"healthcare for everybody"
47,1,"Iliteracy"
50,0,"crime"
44,0,"lack of Christian ethics"
21,1,"crime"
40,0,"hunger and war"
70,1,"campaign finance reform"
42,1,"the economy"
77,0,"the moral decay which leads to crime...moral change"
55,1,"racism (its bad here in South Carolina)"
26,1,"employment issue"
59,0,"lack of consequences"
55,1,"p[olitics"
50,1,""
68,0,"Drug"
36,1,"voilence"
46,1,"world hunger"
58,0,"too much taxes"
40,0,"Starvation"
40,0,"drugs"
90,0,"the lack of morals and vales contributing to the undesirables of this country"
47,0,"Drugs"
57,0,"gas prices"
36,0,"our government"
47,0,"crimes (elab) any."
78,1,"school systems"
23,0,"violence"
25,1,"violent crimes..."
25,1,"inequality with regards to income"
81,1,"too high taxes"
31,1,"budget - need to make products at home; to increase the funds here instead of gi"
37,0,"crime"
44,1,"no'"
61,1,"computers"
26,0,"education and health care"
43,1,""
41,0,"immorality(prob)sex, being immorle in gemn. as famliy"
27,1,""
22,1,"education (how) not enought emphasis on funding and so forth"
36,1,"education"
48,0,"the moral decay; lack of moral attitudes and religion"
23,0,""
71,0,"drugs"
40,0,"DETERIORATION OF THE FAMILY"
58,1,"reducing the national debt"
42,1,"police not upholding the law"
45,1,"education (school are over crowded, children not getting enough)"
30,1,"education and violence our children----children killing children"
64,1,"government/ people are becoming to lax--"
30,1,"gangs, (how) alot of bad people who do bad things"
42,1,"lost our maoral way"
64,1,"war"
61,1,"children and their problems"
51,1,"homelessness"
53,1,"drugs justice"
53,0,"clinton/gore"
38,1,"Crime and drugs"
21,0,"teen pregnancy"
22,1,"poverty"
45,1,"trusting the leaders"
63,1,""
19,0,"THE RISING OIL PRICES"
22,1,""
62,1,"crime"
18,1,"education"
42,1,"gas prices, diseal prices, hog markets"
45,0,"toomuch gov't"
72,1,"criminals (how) there is so much criminal activity its pathetic and they dont do"
21,1,"child violence"
60,0,"crime"
70,0,"dishonesty among the government..."
69,1,"economy."
30,1,"education|."
27,1,"POVERTY"
61,0,"crime"
48,0,"the inflation, the high interest rate keeps rising"
84,1,"loosing a lot of the values we use to have..."
43,1,"education"
40,0,"disciplining children"
33,1,""
38,0,"leADERSHIP"
78,0,"ILLEGAL IMMEGRATION"
66,1,"violence"
33,0,"Controversy over gun control."
18,1,"crime"
67,0,"the president"
38,0,"divorce rate"
38,0,"over taxation"
37,1,"keeping the economy as strong as it is"
41,0,"The drug issue with young people."
33,1,"no jobs"
66,0,"drugs, acohol"
27,1,"education,improving the standards"
46,1,"poverty, need more money to help poor people"
18,0,""
67,0,"that medicare will last, and that insurance will cover prescriptions"
28,1,"Education"
41,1,"education"
40,0,"lack of morals"
38,1,"our children"
50,0,"race discrimination"
42,1,"Drugs"
57,1,"social security"
41,0,"mental health issues"
28,1,"not enough people want to work"
20,1,"the of the educational infrastructuure in the u.S."
62,1,"i have 43 yrs in meat packing plant - we're getting screwed on retirements. in y"
59,1,"social security TAXES"
33,0,"prisons"
48,1,"Continued economic prosperity."
18,1,"education of children k-12"
79,0,"loss of confidence in government leadership"
48,0,"the lack of family for kids/broken families"
72,1,"different ethnc group getting along one another_respect"
57,1,"drugs"
45,0,"drugs"
66,1,"rape"
44,1,"health care (next) that's about it"
36,0,"taxes; too complex, noted that whatever I want to have deducted at the start of "
41,0,"violence among children"
25,1,""
60,1,""
76,0,"peole in gov , crime, young people"
38,0,"schools"
25,1,"parents not caring for there children"
62,1,""
30,1,"th cuban boy what he government did was out of control...it was like stealing th"
23,0,"education"
55,1,"crime"
73,1,"welfare"
34,0,"the lack of character in our leaders"
40,0,"bill clinton"
50,1,"the culture of money, the pursuit the only thing that matters"
48,0,"the way americas turning its back on God"
30,1,"lack of knowledge of god"
55,0,"houseing shortage"
45,1,"crime"
76,1,"wickedness , plain old sin"
24,0,"budget"
73,1,"elian gonzalez, the government has alot of problems, they never do anything."
38,1,"leadership of the country and that extends to the parents and the lack of leader"
62,1,"crime"
36,1,"education"
61,0,"all this shootin stuff with all the children goin on in the schools"
45,1,"gun control;too easy to buy guns"
29,0,"education"
41,0,"education"
52,0,"next pres election"
75,1,"too many taxes"
56,1,"the economy seems to be good now but you're fearful thing can always change"
47,1,"drugs"
72,0,"young kids drinking killing each other"
29,0,"deadbeat fathers"
45,1,"money afairs"
29,1,"violence among teens"
45,1,"violence"
43,1,"Crime is the biggest problem in the country today."
22,1,"poverty"
34,1,"violence"
22,1,"violence in the street, killing taxi drivers"
45,0,"amount of cuts health care institutions"
54,1,"lack of meaningfull work which is the cause of many other problems"
38,1,"hunger"
27,1,"gun violence"
23,0,"welfare"
56,1,"youth and educaiton"
75,0,"clinton and china who got all our missle tech and clinton was response,"
50,0,"drugs"
64,1,""
42,1,"lack of education"
62,0,"leadership"
52,1,"education for the youth"
39,0,"Violence by youth and others."
30,1,"youth, abilitys to be responsible, stay ing in perimiters that keep them safe"
39,1,"federal budget"
29,0,"how our tax money is being distrubted"
60,0,"the foreign policy"
49,0,"separation of church and state---taking God away from everything"
28,0,"stich our nose in other countries problems"
32,0,"democrats"
20,1,"shool system"
60,1,"children and violance"
49,1,"education"
21,0,"economy"
30,1,""
62,1,"taxes"
72,1,"prices are getting ahead of income."
30,0,"domestic issues"
45,0,"rqace relations"
69,1,"Violence on television; politics."
39,1,"overdevelopment,of land,poor urban planning,which impacts neighborhoods, schools"
35,1,"schools, problems with safty in schools."
38,0,"Lack of trust in god"
33,0,"taxes, social security"
40,0,"crime"
48,1,"better economics, living conditions"
60,0,"welfare of the older4 generation"
48,1,""
20,1,"healthcare reform"
70,1,"violence and lack of relogious training"
85,0,"lack of enforcement of laws"
44,0,"lack of morals..."
56,1,"too many foreigners in the country"
40,1,"drugs"
55,0,"president clinton"
20,0,"lack of respect for each other"
44,1,"crime"
36,0,"family values"
42,1,""
52,1,"deteriation of family unit"
24,0,"education"
58,0,"crime"
21,1,"peace"
31,1,"community violence"
43,0,"crime"
26,0,"gun control"
19,0,"child proverty"
48,1,"alot of people without healthcare."
35,0,"the lck of faith in god"
52,1,"the deal with the oil shortage"
76,0,"moral decay,appethy of issues"
48,1,"violence in schools"
71,1,"crime"
28,1,"lack of public education on political events"
53,0,"need to turn back to god"
43,1,"lack of religion in schools"
48,1,"inflation"
46,0,"housing and education.  too expensive for the poor"
46,1,"social security and health care"
25,1,"drugs and violence"
30,1,"drugs"
83,1,"i think it's very important that everyone keeps employed. in talking to an old g"
75,0,"children and crime"
53,1,"equality"
40,0,"desinigration of the family"
54,0,"the governmrnt  both parties cannot agree on anything and its the people that su"
40,1,""
81,0,"none"
46,0,"false sense of secutrity of were we stand on miltary and things in the economy"
53,1,"government spending"
29,0,"Foreign Conflicts"
40,0,"abortion"
24,1,"the econonmy"
83,1,"crime and drugs"
30,0,"teachers  teachers are not getting enough money to educate upcoming generation"
29,1,"state of political parties no valuble canidates running"
67,1,"violence"
21,0,"accountibilty"
42,0,"pollution"
73,0,"gun control"
42,1,"gun control"
49,1,"drugs"
75,1,""
35,1,"hunger"
49,1,"child abuse and drug issues"
38,0,"the juveniles have too much free time to get into trouble they need to be more c"
20,0,"DRUG ABUSE"
52,1,"world peace"
62,0,"How the senior citizens are mistreated and how high taxes are. and also the heal"
86,1,""
43,1,"level of violence in country"
60,0,"the governemt is getting involved with too many things out side of the country a"
59,1,"moral issues."
32,0,"high price of gasoline"
22,1,"saftey for children"
39,0,"The violence."
36,1,"bad people, education"
30,0,"liberalism"
40,0,"liberal judges"
71,0,"lack of morals"
58,0,"the way childeren are brought up with lack of respect"
37,1,"taxes"
78,1,"health issues and education"
49,0,"too much taxes"
21,1,"people are not spending time at home with their children."
32,1,""
35,0,"country has turned its back on god"
37,1,"crime"
77,0,"tv movies vedios non  teaching of God too much sex and violence"
23,1,"homelessness"
20,1,"involvment with other countries (spec) dealing with other peoples wars"
50,1,"youth violence"
41,0,"economy"
35,0,"leadership"
80,1,"crime in genearl"
50,0,"education"
29,1,"economy"
42,0,"too many places for the military. should stay at home"
77,0,""
42,1,"education, getting our youth more excited about science and technology"
62,1,""
40,0,"money"
38,0,"the environment"
34,0,"youth growing up with vioplence lack of respect"
27,0,"medical coverage for children"
48,1,"worry about the future/hopes people know what they are doing-money/stock market "
31,1,"the way they're raising kids today, not enough discipline.  Now made so hard by "
37,1,"teen violence"
51,1,"crime"
40,1,"foreigners..."
32,1,"kids are getting away with too much  parents can't correct them anymore"
43,1,"drugs"
42,0,""
39,1,"drugs"
49,1,"drugs"
53,1,"drugs"
52,1,"drugs and poverty"
45,1,"Helping other countries but not helping our own country."
48,0,"violence"
20,0,"depletion of social security"
45,0,""
54,0,"getting clinton out of the white house, he's corrupt"
23,0,""
40,1,"violence"
50,1,"Drugs, of course."
39,0,"violence"
68,1,"economy  mr. greenspan  inflation gas prices  open trade with china  education"
18,0,"people disrespecting this country"
22,0,""
33,1,"education"
36,1,"the youth of america and gun control"
74,0,"security from other countries that might have the atomic bomb"
22,1,"lack of health insurance"
39,0,"people drawing checks no work"
61,1,"state of public education"
61,0,"crime,"
51,0,"education"
43,0,"the president, he's an idiot"
44,0,"crime"
48,0,"violence"
39,0,"education"
57,1,"senisism"
73,1,"racaisimn"
68,0,"cri me"
38,1,""
52,0,"degrading of families"
68,0,"education"
47,1,"jobs"
74,1,"peoples rights to senior citizens, discrimination"
32,1,"taking care of the nations children"
26,1,"violence"
47,0,"the medical coast to the elderly"
35,0,"medicare bills for senior citizens aren't taken care of,ambulance law coming up"
31,1,"our teenagers"
40,0,"Unemployment."
52,1,"the youth"
34,1,"LACK OF COMMUNITY LACK OF FAMILY LIFE"
65,0,"the price of health insurance and medications"
68,0,""
51,1,"violence"
53,1,"environment"
39,1,"too much legislation and too much money going to unnecessary research"
35,0,"lack of morals"
35,0,"government"
61,1,"morals"
51,1,"not taking care of the welfare of indigent"
72,1,"poor quality statesmanship plenty of politicians no statesmen"
62,0,"morals"
63,1,""
41,1,"education"
27,1,"crime and violence"
61,1,"the international debt"
36,1,"lack of belief in God,"
25,1,"Drugs"
58,0,"moral values, they need to be supported more."
77,0,"poor people,the thing in miami,drinking teenagers,also drugs,educucation,traffic"
25,0,"violence"
37,1,"violence with the kids"
38,1,"outsiders, immigrants, worry about ourselves"
30,1,"drugs with children and guns in schools"
56,0,"killing"
28,1,"violence"
59,0,"drugs and taxes."
53,0,"loss of liberties"
58,1,""
30,0,"crime"
27,1,"homelessness"
24,1,"health care (too may without it)"
54,1,"poverty"
48,1,"violence in children"
30,1,"our pinal system"
40,0,"crime"
35,0,"research for aids study"
62,1,"no action in washington dc in the c9ongress"
57,0,"corrupt politics"
41,1,"Drugs"
70,1,"the republican house of representatives and senate"
50,0,"homeless people"
34,1,"republicans"
57,1,"education"
26,1,"vioence"
28,0,"different kind of people that the gov't got in the country; trying to solve all "
33,1,"education"
63,1,"unemployment"
61,1,"health care"
30,1,"racism"
23,1,"gang violence"
61,0,"war of the races/over crowded"
56,1,"poverty"
26,0,"violence"
35,0,"the economy"
59,1,"social security-needs to be re-evaluated, to insure that it's properly funded."
70,1,"lack of respect for authority"
63,0,"stock market"
46,1,"|politics"
41,0,"education quality"
23,0,"lack of morals"
37,1,"lack of quality education"
76,1,""
26,0,"crime"
47,1,"economy needs to be continually taken seriously"
35,1,"Teenagers have no place to go nothing to do so they get in trouble"
81,1,"guns killing children"
35,0,"farm crisis"
23,1,"poverty"
40,1,"hate"
65,0,""
65,1,"economics"
59,0,"goernement corruption/ world need to turn to god"
20,1,"take care of our country before we take care of others"
64,1,"crime of all kinds"
79,1,"the way farmers are being treated!"
59,0,"family breakdown  lack of father image"
58,1,"health care"
45,1,"integrity"
23,0,"having a democratic president"
25,1,"drugs"
36,0,"Raising Children."
46,0,"Democrates"
32,1,""
62,1,"drugs and killing"
50,1,"gun control"
54,0,"health insurance"
38,0,"crimes and guns with young  children"
67,1,"hunger and crime."
61,0,"lack of family values"
50,0,"politics"
60,0,"Hunger"
31,1,"crime"
57,0,"health care"
69,0,"drugs"
45,1,"education kids graduating from high school can't read or write"
21,1,"welfare"
24,1,"economic situation"
46,1,"dont know"
39,0,"Loss of morals"
25,0,"morals"
86,1,""
28,1,"national debt"
56,0,"national debt"
36,1,"health care"
67,1,"crime"
58,0,"cleaning up washington"
51,1,"the disintegration of the family"
57,0,"People starving to death."
50,1,"violence"
34,0,"children/guns"
70,1,"Baby boomers are all getting old"
52,1,"drugs"
19,1,""
62,0,"parents not taking care of the youth"
30,1,""
53,1,"taxes"
64,0,"problems with young people"
46,1,"individual corruption"
48,0,"education"
58,0,"leadership honesty and integrity"
55,0,"drugs"
25,1,"foriegn relations"
51,0,"older people"
34,1,"education"
60,1,"people who earn alot of money don't realize how hard it is for us to get along"
42,0,"Education."
39,0,"violence"
74,1,"distribute the wealth more evenly"
51,1,"gun problems"
53,1,"the statye of our health"
69,1,"poverty"
21,1,"poverty"
41,1,"violence"
70,0,"the democrats"
37,1,"lack of responsibility of our children"
53,0,"education"
33,0,"decline of moral"
30,1,"racism"
47,1,"poverty"
49,0,"crime/drugs/youth/gangs, as they are all interrelated with one another."
77,1,"health care"
53,1,"education"
37,0,"Degredation of our culture in regards family values."
59,1,"economy"
45,1,"taxes, health care"
65,1,"gun control"
45,0,"breakdown of family-drugs"
40,0,"crime on the streets"
51,0,"our economy, social security, why doesn't our country have a medical system for "
36,1,"The way our children are being raised - they keep taking God out of the world. I"
50,1,"immigration"
70,1,"youth (elab) no education, need more attention in the house, need advice from gr"
53,0,"drugs"
43,0,"bill clinton"
62,0,"health care"
38,0,"democrats in the white house"
40,1,"INTEREST STRUCTURE..."
50,0,"lack of good paying jobs"
45,1,"homosexuality and abortion"
72,1,"all bad stuff going on in the world"
87,0,"Too many to pick from"
23,1,"Moral values"
34,0,"parent s not spending enough time with children to help them grow up to be respo"
75,0,"the democrats"
25,0,"big brother"
29,0,"drugs"
48,1,"youth and thier direction"
49,1,"Health care and social security."
63,0,"military defense"
65,0,"the fact that it doesn't knwo it has a problem"
42,1,"violence"
40,0,"president clinton"
44,0,"morals"
37,0,"economy"
25,0,"education"
63,0,""
72,1,"government not spending the money correctly, giving it away to foreign countries"
53,1,"harmony"
50,1,"hunger"
61,0,"election"
45,0,"taxes(spec) need to cut taxes"
34,1,"racism"
18,0,"gun control"
55,0,""
18,1,"crime"
37,1,"gun control"
54,0,"drugs"
22,1,"discrimination (about) we have a long way to go in different aspect of discr."
36,0,"Crooks in Government."
26,0,"imorality on tv"
33,0,"drugs"
67,1,"drugs"
57,1,"youth"
43,0,""
35,0,"today's youth"
30,1,"gun issue, law not tough enough on children commiting crime, more law enforcemen"
66,0,"world hunger"
57,1,"family not being as strong as it used to be"
38,0,"lack of moral guidance"
37,1,"Poverty"
26,0,"violence"
40,1,"not enough pay..."
63,1,"MEDICARE"
47,1,"drug related"
64,0,"abortion..."
36,0,"lack of family values"
69,1,"the government is not spending our money right and not helping the elderly"
50,1,"people being shot with guns"
62,0,"returning to faith in god"
45,1,""
34,0,"health insurance"
53,1,"health insurance"
60,1,"our children"
52,1,"everybody has turned away from the bible, there's a lack of respect for the ten "
26,0,"tv"
44,0,"crime"
25,0,"the shootings in school"
50,1,"drugs w/the younger generation"
50,0,"immorality"
40,1,"poverty"
38,0,"goverment intervention;taxes const. rights"
61,0,"social; security"
47,1,"lobbiest"
40,1,"crime and violence"
47,1,"more jobs"
62,0,""
51,0,"democratic politicians that lie"
34,0,"discipline"
42,0,"moral (elab) if our country had moral there wouldn't be as many crimes."
22,1,"social issues"
38,0,"democrats"
45,1,"crime"
59,0,"crime;sticter laws needed;less time for sentencing;get real tough with laws"
37,1,"racism"
41,0,"gun control"
67,0,"kidsshooting"
40,0,"violence/schools/drugs"
52,0,"towards the end of our peak,weve built on the needs of the people and we will st"
51,0,""
43,1,"social security"
39,1,"economy"
47,1,"environment"
31,0,"World Order."
60,0,"lack of family"
41,1,"priority of our morals"
36,0,"government"
39,1,"environment"
30,1,"poverty"
46,0,"health care"
51,0,"lack of coherent effective foreign policy"
33,1,"people in yteh country lacking Jesus"
52,1,"health and sickness"
23,1,"violence"
62,0,"taxes"
41,0,"fact that prayer needs to be put back in the schools"
48,0,"education"
51,1,"crime"
27,1,"education;if education improved less drugs;homelesness"
57,0,"gun control"
47,0,"the economy"
64,0,"country is slipping behing"
65,1,"our children...violence in schools...|         and health care..."
61,0,"crime"
65,0,"care for the elderly"
78,1,"people spending more than they make"
27,0,"evergrowing populationand lack of medical persutes"
50,0,"lack of family unity, or famuilys"
41,0,"family"
28,1,"poverty"
59,0,"morals"
40,0,"THE HOMELESS"
36,1,"drugs|politicians raise money wrong"
33,1,"guns in school"
27,0,"moral decay"
25,1,"gun control"
39,1,"downfall of values and morals due to general lack of respect by general public, "
31,0,"growing rate of crime"
69,1,"don't think we have any real problems other than national security; terrorist at"
61,1,"increase in prices and not wages"
49,1,"the youth have no discpline"
40,1,"lack of apathy for people"
46,0,"money"
30,1,"not alot of jobs"
34,1,"crime"
41,1,"too many Mexicans"
64,0,"guns"
48,0,"breakdown of the family"
44,1,"education"
40,0,"government is a gov for government not for the people"
42,1,""
61,1,""
28,0,"president"
35,0,"poverty"
18,0,"GLOBAL WARMING"
32,0,"financail needs"
38,1,"viollence"
80,1,"greed and lust for power"
73,0,"the way government abuses taxed"
62,1,"violence among teenagers"
55,1,""
75,1,"politica"
63,0,"loss of christian principles and values"
42,1,"lack of morals"
41,1,"poverty"
43,1,"lack of moral values"
26,0,"guns and violence"
71,1,""
63,1,"schools"
38,1,"the cost of gasoline"
34,0,"issues w/children"
64,0,"clinton and gore"
56,1,"Court system"
43,0,"education"
64,0,"children growing up without supervision and christian values."
39,1,"national debt"
73,1,"social security"
34,1,"poverty"
70,1,"drugs"
37,1,"equity"
19,0,"lack of funding for education"
46,1,"violence"
31,1,"how kids are raised"
47,0,"lack of morals"
78,1,""
47,0,"Economy"
65,0,"poor morals"
38,0,"gun rights"
49,0,"Sexual Immorality"
49,1,"drugs"
74,0,"medical care for the elderly and price of prescription drugs too high; getting h"
84,1,"helping those in need"
31,1,"Education"
42,0,"lack of values from citizens"
36,1,"racism"
55,1,"racisim"
22,1,"poverty"
39,1,"poverty & crime"
52,0,"corrupt goverment"
70,1,"U.S involvement in other countries-we try to solve other countries problems"
41,0,""
55,0,"lack of high standards, which compromised by poltical correctness"
51,1,"Illegal imigration and uncurable diseases."
63,1,"disrespect from kids, lack of interest by parents"
53,1,"kids"
34,1,"our government  we need a better one."
58,1,"drugs and alcohol"
91,0,"sucurity of the united states, should we belong to the united nations"
40,1,"hunger"
52,0,"morality"
60,0,"medicare"
19,0,"menatal illness"
75,1,"everybody is out for themselves, and they took the bible out of thechools, our y"
70,1,"drugs"
42,1,"immorality"
37,0,"degregation of society.lack of morals"
28,0,"education"
36,1,"Hunger and poverty"
47,1,"guns"
27,0,"violence"
53,0,"how to function in world economy"
36,0,"morals"
43,1,"CRIME"
56,1,""
