V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,custom1,gc,quota,Q32,Q1,Q2,Q22,Q4,Q3,Q24,Q5,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q3.0,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q1_11,Q1_12,Q8,Q7_1.0,Q7_2.0,Q7_3.0,Q7_4.0,Q7_5.0,Q7_6.0,Q7_7.0,Q7_8.0,Q7_9.0,Q7_10.0,Q7_11,Q7_12,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_8,Q28_9,Q5.0,Q4_1.0,Q4_2.0,Q4_3.0,Q4_4.0,Q4_5.0,Q4_6.0,Q4_7.0,Q4_8.0,Q4_9.0,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q9_1.0,Q9_2.0,Q9_3.0,Q9_4.0,Q9_5.0,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q10_1.0,Q10_2.0,Q10_3.0,Q10_4.0,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q12,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q11_1.0,Q11_2.0,Q11_3.0,Q11_4.0,Q11_5.0,Q11_6.0,Q12_1,Q12_2,Q12_3,hugrev,enjoytouchrev,shdnotbeuncomfrev,liketouchrev,showemorev,likebetouchedrev,touchpersrev,touchICK,okdoctouchrev,undoctouchrev,docshdtouchrev,prefdoctouchrev,docICK
R_0cRXtjW8pycnP5r,Default Response Set,Anonymous, , ,98.22.111.184,0,12/16/2013,12/16/2013,1,500193d5d8e41b-29ad-4066-861c-7456efcfde8c, , ,1,2,49,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
R_0cwBxhuBiwAH6xD,Default Response Set,Anonymous, , ,64.131.185.251,0,12/16/2013,12/16/2013,1,500193111a84a9-9b35-43f5-8965-4023b8afb2aa,1, ,1,2,53,5,1,1 month 0 year,1,4,6,5,6,1,5,7,7,7,7,6,6,7,7,5,8,8,8,8,7,7,5,7,8,8,9,9,8,7,9,9,9,7,7,9,8,8,8,9,8,9,7,8,8,8,9,9,8,8,8,9,9,8,8,9,8,7,7,8,8,9,7,7,8,7,7,8,7,7,8,7,8,9,8,8,7,8,7,8,7,1,5,5,5,4,4,4,4,5,4,5,4,5,1,6,6,5,6,6,6,6,6,5,6,6,6,5,5,4,5,6,4,4,4,5,1,5,5,5,5,4,4,5,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,1,1,1,1,4,3,3,3,4,3,3,3,3,3,1,1, ,1,1, ,1,1,1, ,3,3,3,2,2,2, , ,1,3,4,4,4,3,4,4,5.23076923076923,4,4,4,4,5.8
R_0e6d1gam9SwnMj3,Default Response Set,Anonymous, , ,108.249.12.6,0,12/13/2013,12/13/2013,1,5001933a4f9c41-d435-4f80-ad32-4058741efc24,1, ,1,1,63,3,1,1 month,2,1,1,1,1,1,7,7,7,5,2,7,7,2,6,6,2,11,11,11,2,2,2,2,2,2,11,11,2,2,11,11,11,2,2,11,2,2,2,11,2,11,11,11,2,2,2,11,2,11,11,2,2,2,2,11,11,2,2,11,11,2,2,2,11,2,2,11,2,2,11,2,2,11,11,2,2,11,2,1,2,1,1,7,7,7,7,1,1,7,7,1,1,1,1,1,7,1,7,7,1,7,7,7,1,1,1,7,7,1,7,7,7,7,1,7,1,1,1,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1, , , ,2,4,4,1,3,3,4,5,3,3,1,1, ,1, , ,1,1, , ,4,1,4,1,1,2, , ,1,1,1,1,1,10,1,1,2.15384615384615,10,1,1,1,2.5
R_0exSbDOQ9X7POYt,Default Response Set,Anonymous, , ,174.101.24.101,0,12/13/2013,12/13/2013,1,5001937461375d-daf7-4fa2-bafc-016c59317ddd,1, ,1,2,67,3,1,2 months ago,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,11,2,4,11,7,2,10,8,8,11,11,8,2,9,11,11,2,2,11,1,11,11,11,2,11,4,4,2,2,2,11,2,6,11,3,2,10,10,11,11,4,2,4,8,9,3,2,7,2,2,5,2,3,11,2,2,11,11,2,2,11,3,11,2,1,5,6,5,6,7,6,1,5,6,1,7,1,1,5,1,6,2,7,3,4,4,5,2,6,3,4,4,4,6,4,2,4,6,4,1,2,2,6,5,4,4,5,3,4,1,1,1,5,1,1,1,1,5,5,4,4,4,1,1,1,1, , , ,1,1,1,5,1,1,1,1,1,1,1,1, , , , , , , , ,1,1,1,1,1,1,1, , ,1,1,1,8,4,3,5,7,3.38461538461538,7,1,10,8,7.2
R_0feVtlsZ1tOOkpn,Default Response Set,Anonymous, , ,108.93.210.121,0,12/16/2013,12/16/2013,1,500193e8c618b1-5035-4d4a-a0e0-d965b90f6612,1, ,1,1,78,3,1,oCT 2013,2,5,4,1,5,1,1,7,7,7,7,1,7,7,7,1,11,11,11,9,2,2,2,2,2,2,9,11,6,2,9,11,11,6,2,11,2,2,11,11,2,11,11,11,2,2,2,11,2,11,11,6,2,2,2,11,11,6,2,11,6,6,6,6,6,2,2,6,2,2,11,2,2,11,11,2,2,11,6,1,2,1,4,6,6,7,7,2,3,7,5,4,4,1,1,4,1,1,4,7,5,6,3,4,4,2,5,1,1,1,4,1,1,1,3,1,1,5,4,1,7,7,5,7,6,6,3,3,4,5,3,3,3,3,4,1,4,4,4,3,3,3,3,1, , , ,1,3,1,1,1,1,1,1,1,1,1, , , , , , , , ,1,1,1,1,1,1,1, , ,1,1,1,1,6,6,6,6,3.92307692307692,1,1,1,3,1.8
R_0HBvrvCnebAK4jb,Default Response Set,Anonymous, , ,24.16.81.103,0,12/13/2013,12/13/2013,1,5001930ed3327d-bbad-42b5-8e41-4cf087176cf0,1, ,1,2,37,3,1, 1 year,1,3,7,1,2,1,2,7,7,2,2,2,6,6,6,2,6,9,6,9,9,7,9,9,2,2,11,10,2,2,10,10,11,2,2,10,10,10,5,7,3,8,3,3,5,9,7,6,2,6,10,7,10,7,9,9,6,7,2,4,5,3,3,9,5,3,2,3,3,8,5,8,8,4,6,1,2,8,3,10,2,1,4,5,5,6,6,4,4,5,6,2,2,1,1,1,5,2,4,6,4,4,2,6,2,6,2,4,4,1,3,3,2,4,1,4,1,5,1,7,5,4,6,1,2,6,3,3,2,2,2,3,3,2,4,4,2,4,4,3,3,3,3, , , ,1,4,4,4,4,4,4,3,3,4,4,1,1, , , ,1,1,1, , ,4,4,2,2,2,4, , ,1,3,6,8,7,9,7,9,5.76923076923077,6,3,6,3,5.6
R_0HtoPUNYxZ6Gp8x,Default Response Set,Anonymous, , ,71.156.48.175,0,12/16/2013,12/16/2013,1,50019305b7a663-9fa6-4adb-b882-b73452bb95bd,1, ,1,2,32,2,1,0,1,2,2,2,4,1,1,5,1,1,1,1,1,2,1,1,8,10,9,6,6,4,6,6,6,1,10,10,5,2,6,9,6,3,2,9,8,3,10,6,6,8,6,7,8,7,9,4,3,6,7,7,9,5,8,8,5,10,6,6,6,6,9,6,6,9,6,6,7,6,6,6,6,6,4,1,6,1,6,3,6,1,4,4,5,6,6,4,5,5,5,4,4,4,1,2,4,4,4,5,4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,1,4,4,4,6,5,5,4,5,7,3,4,4,4,3,2,3,2,4,4,2,2,2,3,2,3,3,1, , ,1,3,3,4,3,3,3,3,3,3,3,1, ,1, , , , , , , ,1,1,3,2,1,1,1, , ,4,7,6,6,6,6,6,6.69230769230769,4,2,3,6,4.4
R_0HXKoixfANLN6u1,Default Response Set,Anonymous, , ,4.53.4.66,0,12/16/2013,12/16/2013,1,500193bbc7f6c5-85df-4fd4-a2a3-32105bbfdedb,1, ,1,2,38,3,1,10/2013,0,3,7,1,1,1,6,6,7,4,1,1,1,1,1,1,10,10,10,10,3,3,10,3,11,2,10,10,2,2,10,10,10,2,2,11,11,2,11,11,2,11,2,11,2,2,2,11,2,10,11,2,2,2,11,4,3,10,5,5,3,3,9,9,4,11,3,3,9,2,10,2,4,10,11,1,2,11,7,11,2,1,4,6,7,7,7,3,3,6,3,1,6,4,1,1,4,4,4,6,1,2,3,4,6,7,4,4,4,2,4,4,4,4,4,4,1,1,1,5,7,4,6,4,4,7,4,4,5,5,5,3,3,4,4,4,4,4,4,4,3,3,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1, , ,1, , , , , , ,2,2,2,2,2,2, , ,1,8,9,7,9,9,8,9,8.15384615384615,2,2,2,2,4
R_0IEiVc3Du6DUwYJ,Default Response Set,Anonymous, , ,75.4.16.168,0,12/17/2013,12/17/2013,1,50019360b7004f-75c6-43b3-a257-f3c5050793e2, , ,1,2,38,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
R_0JMZdLprlfNXyzb,Default Response Set,Anonymous, , ,172.129.70.138,0,12/13/2013,12/13/2013,1,50019325033b7b-cc87-4f48-b72a-1e7e3cbccb7b,1, ,1,2,54,3,1,3 years,2,3,6,1,6,1,7,7,6,6,7,4,4,6,6,4,5,8,6,6,7,9,4,9,9,6,9,9,4,3,8,9,9,3,3,7,9,6,3,6,6,6,3,6,7,9,9,3,6,6,8,10,9,6,9,7,7,6,2,6,6,4,6,6,6,5,2,4,5,8,3,9,8,9,3,2,8,3,9,4,7,1,5,4,6,4,4,3,4,5,5,2,3,3,1,5,4,4,4,5,4,4,5,6,3,4,5,4,4,2,4,5,3,4,5,4,1,5,3,5,4,4,5,4,3,5,2,2,3,4,2,2,2,2,4,4,3,4,4,2,2,2,2,1, , , ,2,2,2,2,2,2,4,4,4,4,1,1, , ,1, , , , , ,2,2,2,2,2,2, , ,1,5,5,6,6,8,6,8,5.46153846153846,7,4,6,6,6.7
R_0jQhHlDiDLXgb7T,Default Response Set,Anonymous, , ,72.197.237.172,0,12/16/2013,12/16/2013,1,5001938af2f11d-e969-45aa-884e-b341559b66cf, , ,1,2,66,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
R_0k1tqcOMzRLmlH7,Default Response Set,Anonymous, , ,96.26.185.215,0,12/16/2013,12/16/2013,1,500193b4fcf385-c667-4c6b-a42c-8613413615b1,1, ,1,1,59,3,1,2,1,4,5,2,5,2,3,7,7,5,7,7,7,7,7,6,7,5,7,7,5,5,6,5,5,8,8,8,9,5,9,9,9,5,5,8,4,6,9,6,4,8,8,6,8,3,5,8,5,8,9,6,4,5,5,8,7,8,4,6,5,5,5,5,7,6,1,6,7,5,8,5,4,7,6,2,6,5,9,1,6,1,1,3,6,4,7,7,1,4,4,4,3,5,1,7,3,3,1,7,4,3,7,4,7,5,3,1,1,1,5,1,1,1,7,1,1,4,4,5,5,4,5,5,5,7,1,1,4,4,3,3,4,4,5,5,5,5,5,3,3,2,2,1, , , ,4,3,3,4,3,3,4,4,3,4,1, , , , , , , , ,1,4,2,3,4,1,3, , ,1,4,5,6,7,7,5,6,5.30769230769231,5,7,5,5,5.6
R_0kesKE32LWTH4Pz,Default Response Set,Anonymous, , ,98.117.175.175,0,12/16/2013,12/16/2013,1,500193cc317dc7-9b89-4a94-8d72-0f0628d2e14f,1, ,1,2,68,3,1,November 2013,1,4,1,1,1,1,4,6,1,5,6,1,6,5,2,1,6,11,6,4,6,6,2,10,10,2,6,11,6,6,11,6,11,6,6,5,10,6,8,10,3,5,2,2,8,7,2,5,2,4,6,11,10,9,11,6,2,10,2,9,3,10,10,10,3,6,2,2,8,9,4,7,7,5,11,2,8,7,11,2,7,1,3,6,7,7,7,2,1,2,7,1,2,1,1,1,3,2,5,7,2,4,2,7,3,6,2,3,4,1,6,1,2,4,3,4,1,5,2,5,4,4,6,6,2,6,1,1,1,1,1,1,1,1,4,4,3,3,3,1,1,1,1,1, , , ,1,1,5,4,3,2,4,4,2,1,1, , , , , , , , ,1,2,1,1,1,1,2,1, , ,6,10,3,9,2,9,10,6.84615384615385,6,1,6,8,5.7
R_0le70pslxfoRIQB,Default Response Set,Anonymous, , ,24.3.193.184,0,12/16/2013,12/16/2013,1,50019398267460-9165-4f30-99a7-b616e3039e91,1, ,1,1,61,3,1,Today.,2,5,7,1,6,1,1,7,6,5,7,5,2,2,2,1,11,11,11,11,2,2,2,2,2,2,11,11,2,2,11,11,11,2,2,11,3,3,11,11,2,11,10,10,2,2,2,11,2,11,11,2,2,2,2,11,10,2,2,11,9,1,2,2,1,2,2,9,2,2,11,2,2,11,11,1,2,11,2,1,2,1,5,7,3,2,7,6,5,6,1,1,7,4,1,7,1,7,1,3,5,7,7,1,5,1,1,1,1,1,1,1,1,1,7,1,1,4,3,1,3,5,5,7,4,3,4,4,4,4,4,4,4,1,4,4,4,4,4,3,3,3,3,1,1,1,1,2,2,4,4,3,3,4,4,3,4,1,1, , ,1, , , , , ,4,2,3,2,2,2, , ,1,1,2,1,3,11,11,3,3.38461538461538,1,1,1,1,1.6
