"V1","V2"
189,460
15,461
62,461
183,461
358,461
384,461
393,461
288,462
324,462
6,463
345,463
2,464
63,464
276,464
23,465
172,465
430,465
74,466
414,466
418,466
105,467
204,467
400,467
120,469
140,469
386,469
444,469
207,470
451,470
153,471
379,471
439,471
164,472
292,472
295,472
396,472
434,472
127,473
143,474
195,474
252,474
5,475
377,475
19,476
58,476
66,476
67,476
188,476
471,476
32,477
44,477
347,477
22,478
315,478
421,478
429,478
463,478
157,479
304,479
12,480
91,480
238,480
386,480
410,480
470,480
4,481
353,481
357,481
458,481
391,482
299,483
314,483
436,483
387,484
459,484
23,485
125,485
361,485
446,485
31,486
95,486
335,486
431,486
4,487
46,487
57,487
80,487
418,487
26,488
122,488
165,488
227,488
312,488
420,488
315,489
360,489
390,489
346,490
366,490
428,490
438,490
46,491
125,491
259,491
360,491
11,493
17,493
40,493
70,493
485,493
87,494
97,494
149,494
17,495
61,495
356,495
389,495
396,495
415,495
476,496
487,496
66,497
180,497
177,498
191,498
403,498
455,498
132,499
198,499
203,499
212,500
387,500
248,501
391,501
22,502
326,502
144,503
279,503
388,503
398,503
35,504
157,505
283,505
434,505
47,506
176,506
200,506
205,506
69,507
116,507
126,507
297,507
331,507
348,507
350,507
353,507
504,507
90,508
199,508
214,508
335,508
34,509
73,509
153,509
175,509
403,509
50,510
234,510
384,510
7,511
218,511
312,511
419,511
138,512
200,512
87,513
151,513
207,513
439,513
141,514
226,514
360,514
397,514
287,515
303,515
305,515
345,515
389,515
424,515
431,515
512,515
513,515
282,516
353,516
480,516
172,517
250,517
359,517
414,517
315,518
467,518
258,519
328,519
448,519
34,520
63,520
107,520
240,520
257,520
442,520
71,521
188,521
299,521
455,521
69,522
118,522
163,522
187,522
339,522
361,522
405,522
487,522
65,523
131,524
203,524
219,524
250,524
260,524
395,524
467,524
105,526
239,526
251,526
299,526
134,527
181,527
213,527
336,527
339,527
426,527
98,528
292,528
428,528
15,530
276,530
447,530
480,530
172,531
211,531
262,531
342,531
16,532
21,532
163,532
172,532
285,532
306,532
350,532
363,532
322,533
422,533
38,534
390,534
425,534
450,534
3,535
499,535
114,536
331,536
115,537
185,537
337,537
216,538
274,538
307,538
319,538
363,538
419,538
20,539
24,539
293,539
296,539
302,539
428,539
30,540
178,540
369,540
28,541
33,541
146,542
14,543
59,543
444,543
60,544
198,544
359,544
39,545
247,545
75,546
166,546
462,546
530,546
53,547
173,547
333,547
458,547
479,547
28,548
293,548
363,548
365,548
401,548
471,548
473,548
527,548
257,549
421,549
513,549
140,550
175,550
366,550
373,550
521,550
472,552
530,552
547,552
316,553
477,553
297,554
518,554
9,555
165,555
250,555
339,555
449,555
453,555
485,555
496,555
53,556
177,556
340,556
457,556
72,557
242,557
267,557
361,557
16,558
207,558
284,558
318,558
510,558
520,558
123,559
471,559
37,560
92,560
104,560
116,560
158,560
180,560
551,560
128,561
214,561
417,561
424,561
452,561
454,561
502,561
286,562
307,562
325,562
165,563
323,563
347,563
337,564
456,564
470,564
522,564
111,565
118,565
185,565
201,565
352,565
468,565
112,566
234,566
284,566
343,566
493,566
560,566
76,567
86,567
312,567
373,567
430,567
563,567
278,568
310,568
249,569
438,569
462,569
553,569
14,570
239,570
442,570
476,570
438,571
42,572
184,572
314,572
380,572
524,572
73,573
254,573
389,573
423,573
126,574
431,574
550,574
561,574
367,575
246,576
423,576
195,577
304,577
521,577
50,579
147,579
185,579
456,579
496,579
562,579
59,581
359,581
32,582
73,582
212,582
463,582
67,583
220,583
347,583
387,583
405,583
502,583
581,583
138,584
162,584
255,584
286,584
417,584
466,584
480,584
537,584
68,585
91,585
470,585
536,585
34,586
262,586
307,586
118,587
290,587
296,587
339,587
372,587
511,587
563,587
253,588
439,588
97,589
132,589
152,589
233,589
241,589
295,589
504,589
536,590
37,591
47,591
300,591
341,591
448,591
2,592
31,592
41,592
359,592
375,592
377,592
581,592
121,593
153,593
288,593
414,593
478,593
57,594
141,594
336,594
356,594
415,594
522,594
568,594
273,595
519,595
541,595
125,596
230,596
38,597
312,597
391,597
544,597
49,598
91,598
250,598
331,598
40,599
162,599
163,599
208,599
319,599
188,600
83,601
184,601
561,601
442,602
480,602
141,603
182,603
227,603
245,603
356,603
425,603
428,603
537,603
44,604
351,604
354,604
527,604
46,605
347,605
385,605
122,606
141,606
190,606
405,606
19,607
57,607
206,607
516,607
100,608
207,608
49,609
153,609
432,609
600,609
51,610
89,610
126,610
150,610
273,610
329,610
373,610
388,610
463,610
23,611
34,611
227,611
267,611
474,611
100,612
297,612
387,612
431,612
576,612
159,613
468,613
476,613
131,614
217,614
227,614
425,614
445,614
354,615
398,615
483,615
88,616
104,616
276,616
406,616
415,616
419,616
434,616
472,616
22,617
41,617
116,617
341,617
377,617
575,617
97,618
310,618
475,618
482,618
23,619
130,619
206,619
117,620
147,620
271,620
351,620
398,620
172,622
177,622
184,622
309,622
349,622
398,622
562,622
151,623
160,623
199,623
259,623
303,623
408,623
509,623
35,624
65,624
545,624
619,624
621,624
339,625
395,625
536,625
109,626
286,626
521,626
551,626
442,627
125,628
144,628
332,628
215,629
288,629
316,629
151,630
273,630
424,630
445,630
610,630
613,630
618,630
59,631
463,631
519,632
215,633
255,633
334,633
344,633
8,634
108,634
114,634
165,634
249,634
296,634
49,635
258,635
285,635
344,635
349,635
628,635
26,636
186,636
246,636
262,636
364,636
369,636
72,637
435,637
94,638
216,638
252,638
515,638
582,638
584,638
614,638
285,639
321,639
470,639
549,639
228,640
321,640
436,640
479,640
552,640
633,640
367,641
378,641
391,641
555,641
15,642
98,642
143,642
216,642
112,643
207,643
570,643
634,643
288,644
442,644
481,644
171,645
509,646
24,647
164,647
179,647
471,647
642,647
135,648
393,648
423,648
493,648
135,649
157,649
453,649
543,649
19,650
29,650
93,650
316,650
329,650
421,650
30,651
182,651
424,651
176,652
505,652
538,653
629,653
96,654
202,654
265,654
267,654
275,654
337,654
458,654
549,654
126,655
187,655
202,655
261,655
314,655
342,655
428,655
544,655
563,655
636,655
388,656
389,656
584,656
75,657
78,657
192,657
394,657
548,657
585,657
590,657
277,658
312,658
483,658
508,658
612,658
262,659
358,659
431,659
452,659
455,659
505,659
511,659
606,659
610,659
635,659
644,659
51,660
132,660
279,660
480,660
515,660
555,660
568,660
596,660
218,661
220,661
404,661
420,661
592,661
601,661
604,661
204,662
291,662
403,662
628,662
154,663
567,663
69,664
80,664
476,664
554,664
155,665
212,665
251,665
302,665
335,665
437,665
528,665
82,666
368,666
407,666
513,666
565,666
577,666
647,666
38,667
572,667
632,667
111,668
127,668
140,668
142,668
362,668
540,668
577,668
581,668
191,669
292,670
308,670
357,670
376,670
392,670
403,670
452,670
490,670
530,670
272,671
296,671
471,671
185,672
286,672
333,672
466,672
516,672
588,672
639,672
109,673
170,673
448,673
55,674
310,674
387,674
465,674
473,674
631,674
292,675
407,675
607,675
330,676
390,676
406,676
541,676
673,676
47,677
304,677
338,677
550,677
340,678
348,678
520,678
67,679
256,679
295,679
301,679
672,679
160,680
282,680
677,680
87,681
319,681
355,681
488,681
31,682
155,682
284,682
361,682
659,682
97,683
401,683
522,683
609,683
644,683
75,684
202,684
319,684
334,684
379,684
475,684
553,684
599,684
627,684
73,685
149,685
153,685
192,685
616,685
7,686
231,686
363,686
571,686
29,687
65,687
177,687
200,687
233,687
280,687
509,687
34,688
311,688
350,689
420,689
65,690
75,690
135,690
151,690
362,690
378,690
523,690
43,691
246,691
576,691
600,691
182,692
376,692
627,692
647,692
57,693
129,693
182,693
393,693
586,693
632,693
673,693
683,693
159,694
298,694
263,695
357,695
485,695
519,695
331,696
353,696
477,696
558,696
192,697
318,697
412,697
597,697
67,698
74,698
94,698
112,698
241,698
259,698
362,698
403,698
420,698
662,698
55,699
115,699
220,699
47,700
334,700
406,700
417,700
423,700
444,700
563,700
654,700
681,700
570,701
90,702
456,702
80,703
325,703
142,704
358,704
386,704
448,704
76,705
280,705
558,705
600,705
222,706
630,706
120,707
205,707
599,707
613,707
189,708
607,708
62,709
66,709
164,709
214,709
355,709
371,709
674,709
33,710
46,710
82,710
98,710
358,710
446,710
487,710
517,710
633,710
170,711
386,711
644,711
160,712
211,712
374,712
440,712
620,712
32,713
76,713
84,713
96,713
133,713
138,713
401,713
18,714
87,714
304,714
380,714
595,714
598,714
609,714
335,715
373,715
664,715
703,715
67,716
86,716
273,716
282,716
481,716
557,716
633,716
215,717
248,717
403,717
446,717
220,718
427,718
562,718
569,718
572,718
631,718
591,719
119,720
131,720
589,720
689,720
513,721
562,721
18,722
230,722
254,722
384,722
396,722
432,722
612,722
145,723
178,723
250,723
505,723
573,723
701,723
52,724
91,724
135,724
315,724
537,724
589,724
680,724
30,725
47,725
104,725
200,725
356,725
419,725
478,725
710,725
296,726
10,727
92,727
275,727
346,727
515,727
604,727
694,727
70,728
243,728
567,728
663,728
49,729
210,729
212,729
301,729
466,729
571,729
254,730
403,730
491,730
531,730
572,730
113,731
160,731
194,731
282,731
36,732
159,732
207,732
211,732
216,732
286,732
301,732
571,732
614,732
673,732
66,733
141,733
402,733
533,733
544,733
631,733
43,734
123,734
136,734
146,734
166,734
333,734
724,734
59,735
75,735
188,735
528,735
584,735
73,736
121,736
424,736
2,737
119,737
457,737
208,738
409,738
430,738
565,738
586,738
608,738
22,739
273,739
301,739
490,739
584,739
667,739
711,739
721,739
87,740
175,740
311,740
377,740
584,740
627,740
279,741
608,741
675,741
727,741
21,742
228,742
272,742
534,742
656,742
729,742
215,743
358,743
363,743
386,743
494,743
734,743
64,744
101,744
295,744
479,744
532,744
665,744
232,745
49,746
123,746
136,746
162,746
273,746
311,746
321,746
345,746
549,746
590,746
226,747
457,747
604,747
746,747
7,748
114,748
230,748
347,748
375,748
581,748
622,748
99,749
154,749
173,749
225,749
241,750
295,750
376,750
560,750
730,750
295,751
301,751
458,751
484,751
631,751
158,752
191,752
356,752
384,752
464,752
485,752
507,752
34,753
169,753
178,753
199,753
201,753
266,753
282,753
265,754
340,754
350,754
393,754
411,754
442,754
600,754
706,754
342,756
734,756
754,756
23,757
150,757
320,757
335,757
398,757
403,757
624,757
645,757
82,758
99,758
164,758
209,758
217,758
408,758
517,758
297,759
331,759
342,759
363,759
683,759
77,760
485,760
512,760
639,760
428,761
658,761
77,762
343,762
390,762
392,762
603,762
105,763
342,763
357,763
517,763
563,763
604,763
678,763
729,763
48,764
78,764
134,764
386,764
390,764
514,764
542,764
189,765
218,765
220,765
332,765
412,765
98,766
191,766
249,766
285,766
368,766
460,766
550,766
613,766
253,767
385,767
565,767
314,768
325,768
442,768
716,768
34,769
73,769
764,769
10,770
66,770
155,770
326,770
706,770
754,770
98,771
330,771
365,771
474,771
597,771
599,771
120,772
367,772
517,772
703,772
76,773
285,773
488,773
519,773
560,773
596,773
624,773
633,773
673,773
676,773
97,774
106,774
193,774
418,774
484,774
574,774
676,774
158,775
231,775
232,775
332,775
415,775
475,775
531,775
615,775
772,775
172,776
195,776
506,776
565,776
570,776
4,777
158,777
338,777
346,777
671,777
282,778
414,778
68,779
184,779
253,779
270,779
543,779
699,779
207,780
71,781
315,781
351,781
352,781
663,781
759,781
135,782
359,782
708,782
256,783
350,783
493,783
641,783
372,784
760,784
40,785
88,785
94,785
467,785
505,785
543,785
619,785
665,785
10,786
261,786
281,786
500,786
752,786
34,787
191,787
567,787
631,787
648,787
186,788
356,788
621,788
652,788
675,788
687,788
690,788
123,789
779,789
23,790
90,790
103,790
131,790
274,790
330,790
776,790
200,791
237,791
299,791
509,791
734,791
757,791
7,792
24,792
25,792
89,792
368,792
425,792
501,792
546,792
42,793
289,793
292,793
394,793
102,794
340,794
52,795
31,796
130,796
149,796
273,796
309,796
417,796
538,796
557,796
594,796
21,797
35,797
93,797
129,797
154,797
206,797
246,797
567,797
570,797
599,797
757,797
50,798
74,798
175,798
701,798
756,798
768,798
9,799
350,799
481,799
681,799
764,799
778,799
129,800
220,800
289,800
591,800
710,800
716,800
169,801
171,801
312,801
783,801
395,802
419,802
635,802
661,802
672,802
109,803
359,803
471,803
522,803
532,803
565,803
630,803
669,803
742,803
115,804
174,804
177,804
257,804
540,804
763,804
780,804
24,805
100,805
198,805
265,805
376,805
432,805
538,805
557,805
667,805
695,805
744,805
358,806
362,806
378,806
597,806
633,806
68,807
355,807
368,807
471,807
579,807
151,808
538,808
571,808
640,808
31,809
160,809
319,809
321,809
337,809
155,810
221,810
325,810
627,810
656,810
758,810
2,811
508,811
620,811
702,811
727,811
195,812
234,812
316,812
397,812
567,812
1,813
63,813
193,813
257,813
363,813
542,813
666,813
138,814
201,814
498,814
582,814
632,814
667,814
728,814
21,815
26,815
292,815
539,815
579,815
590,815
680,815
722,815
787,815
808,815
24,816
54,816
785,816
35,817
94,817
253,817
286,817
459,817
778,817
121,818
271,818
279,818
336,818
564,818
667,818
775,818
80,819
97,819
335,819
562,819
596,819
814,819
578,820
180,821
540,821
583,821
633,821
718,821
728,821
799,821
2,822
237,822
247,822
417,822
54,823
368,823
459,823
497,823
505,823
661,823
125,824
180,824
278,824
575,824
687,824
698,824
761,824
673,825
727,825
124,826
345,826
512,826
20,827
487,827
757,827
192,828
265,828
438,828
636,828
698,828
768,828
800,828
818,828
8,829
511,829
528,829
586,829
654,829
674,829
193,830
345,830
396,830
427,830
529,830
532,830
564,830
609,830
43,831
48,831
92,831
133,831
135,831
288,831
315,831
437,831
666,831
740,831
140,832
228,832
726,832
31,833
93,833
116,833
207,833
792,833
793,833
823,833
103,835
338,835
400,835
462,835
537,835
806,835
372,836
458,836
554,836
731,836
757,837
770,837
764,838
129,839
226,839
274,839
301,839
302,839
346,839
358,839
448,839
533,839
610,839
681,839
690,839
773,839
784,839
171,840
328,840
505,840
625,840
731,840
839,840
137,841
319,841
510,841
718,841
47,842
181,842
304,842
428,842
452,842
677,842
831,842
35,843
372,843
378,843
52,844
336,844
569,844
576,844
717,844
732,844
118,845
119,845
134,845
155,845
582,845
733,845
798,845
147,846
423,846
548,846
683,846
707,846
2,847
24,847
158,847
161,847
299,847
326,847
410,847
575,847
628,847
689,847
18,848
296,848
318,848
405,848
77,849
191,849
538,849
614,849
640,849
54,850
179,850
272,850
286,850
342,850
356,850
378,850
398,850
407,850
605,850
715,850
327,851
375,851
408,851
416,851
578,851
657,851
681,851
154,852
191,852
302,852
415,852
419,852
465,852
511,852
587,852
634,852
670,852
746,852
5,853
308,853
569,853
633,853
648,853
687,853
711,853
739,853
774,853
821,853
827,853
24,854
399,854
715,854
751,854
834,854
127,855
280,855
505,855
511,855
542,855
600,855
706,855
779,855
382,856
485,856
640,856
740,856
801,856
855,856
697,857
10,858
22,858
27,858
39,858
355,858
525,858
548,858
565,858
748,858
49,859
131,859
469,859
509,859
700,859
713,859
717,859
820,859
121,860
160,860
498,860
521,860
738,860
53,861
69,861
97,861
262,861
660,861
778,861
855,861
436,862
808,862
56,863
358,863
500,863
573,863
711,863
817,863
821,863
127,864
263,864
367,864
409,864
580,864
28,865
183,865
218,865
503,865
712,865
727,865
779,865
780,865
72,866
142,866
646,866
799,866
708,867
767,867
770,867
33,868
231,868
263,868
638,868
673,868
830,868
867,868
40,869
158,869
340,869
589,869
600,869
653,869
661,869
149,870
166,870
203,870
334,870
493,870
628,870
854,870
859,870
48,871
630,871
692,871
52,872
139,872
179,872
181,872
357,872
390,872
409,872
424,872
430,872
676,872
683,872
715,872
729,872
798,872
814,872
870,872
315,873
316,873
502,873
552,873
634,873
868,873
129,874
253,874
269,874
7,875
291,875
320,875
373,875
646,875
768,875
132,876
305,876
562,876
634,876
767,876
786,876
813,876
171,877
260,877
520,877
634,877
808,877
252,878
468,878
644,878
655,878
115,879
400,879
451,879
696,879
112,880
332,880
776,880
810,880
827,880
124,881
159,881
377,881
550,881
595,881
760,881
30,882
608,882
751,882
80,883
208,883
282,883
298,883
348,883
371,883
689,883
102,884
243,884
413,884
544,884
564,884
603,884
636,884
682,884
853,884
99,885
137,885
150,885
196,885
214,885
225,885
228,885
235,885
497,885
629,885
734,885
790,885
837,885
159,886
170,886
337,886
742,886
881,886
71,887
184,887
348,887
685,887
726,887
760,887
809,887
865,887
72,888
101,888
110,888
182,888
188,888
271,888
333,888
374,888
454,889
707,889
49,890
204,890
299,890
454,890
560,890
629,890
630,890
724,890
738,890
768,890
850,890
19,891
254,891
610,891
807,891
147,892
291,892
477,892
830,892
86,893
203,893
230,893
261,893
446,893
459,893
608,893
734,893
862,893
57,894
622,894
662,894
34,895
55,895
109,895
143,895
250,895
354,895
668,895
713,895
714,895
816,895
853,895
30,896
104,896
107,896
345,896
434,896
453,896
875,896
886,896
110,897
265,897
482,897
665,897
887,897
66,898
159,898
185,898
407,898
567,898
639,898
651,898
348,899
431,899
583,899
49,900
278,900
313,900
472,900
528,900
554,900
621,900
801,900
871,900
26,901
35,901
38,901
221,901
340,901
58,902
76,902
147,902
165,902
592,902
846,902
848,902
19,903
44,903
183,903
384,903
504,903
593,903
621,903
633,903
829,903
874,903
35,904
47,904
217,904
560,904
163,905
196,905
214,905
266,905
502,905
631,905
897,905
140,906
322,906
407,906
427,906
438,906
639,906
155,907
759,907
807,907
341,908
405,908
637,908
728,908
786,908
112,909
160,909
433,909
514,909
633,909
41,910
77,910
133,910
255,910
529,910
626,910
14,911
33,911
114,911
323,911
397,911
440,911
495,911
715,911
785,911
199,912
210,912
301,912
350,912
505,912
138,913
277,913
303,913
375,913
471,913
782,913
2,914
637,914
124,915
164,915
783,916
824,916
882,916
77,917
125,917
152,917
156,917
290,917
492,917
546,917
552,917
742,917
144,918
358,918
371,918
733,918
160,919
282,919
650,919
700,919
79,920
270,920
434,920
440,920
528,920
888,920
32,921
160,921
285,921
442,921
747,921
493,922
513,922
570,922
659,922
661,922
677,922
759,922
903,922
912,922
100,923
192,923
435,923
439,923
586,923
642,923
778,923
855,923
39,924
200,924
370,924
460,924
577,924
677,924
727,924
733,924
880,924
182,925
230,925
318,925
359,925
676,925
776,925
13,926
42,926
177,926
209,926
241,926
703,926
729,926
269,927
451,927
557,927
582,927
632,927
652,927
4,928
446,928
466,928
630,928
762,928
882,928
888,928
22,929
313,929
577,929
603,929
606,929
657,929
889,929
18,930
86,930
165,930
336,930
477,930
634,930
701,930
880,930
69,931
106,931
142,931
238,931
313,931
408,931
414,931
499,931
533,931
639,931
692,931
828,931
832,931
373,932
470,932
492,932
573,932
279,933
394,933
515,933
650,933
794,933
341,934
359,934
691,934
727,934
76,935
111,935
235,935
345,935
797,935
878,935
177,936
15,937
357,937
418,937
607,937
676,937
707,937
772,937
876,937
509,938
819,938
853,938
480,939
729,939
736,939
876,939
921,939
129,940
201,940
235,940
270,940
377,941
833,941
225,942
501,942
609,942
732,942
788,942
196,943
254,943
287,943
721,943
250,944
283,944
286,944
423,944
602,944
686,944
700,944
702,944
774,944
777,944
888,944
911,944
36,945
116,945
225,945
228,945
326,945
451,945
469,945
634,945
695,945
704,945
829,945
124,946
221,946
252,946
490,946
496,946
819,946
68,947
240,947
290,947
305,947
361,947
443,947
453,947
493,947
511,947
678,947
60,948
110,948
128,948
225,948
366,948
411,948
413,948
733,948
914,948
421,949
470,949
579,949
719,949
723,949
809,949
858,949
911,949
948,949
24,950
293,950
321,950
323,950
381,950
761,950
780,950
849,950
155,951
215,951
260,951
390,951
825,951
885,951
106,952
148,952
408,952
476,952
557,952
610,952
710,952
765,952
100,953
182,953
242,953
538,953
634,953
896,953
916,953
928,953
14,954
59,954
204,954
245,954
61,955
108,955
175,955
226,955
351,955
737,955
828,955
172,956
225,956
240,956
507,956
28,957
464,957
635,957
948,957
21,958
25,958
78,958
507,958
601,958
644,958
774,958
925,958
949,958
60,959
342,959
632,959
770,959
860,959
15,960
146,960
292,960
609,960
698,960
138,961
285,961
338,961
639,961
698,961
797,961
410,962
461,962
486,962
595,962
709,962
915,962
308,963
515,963
554,963
584,963
615,963
685,963
780,963
73,964
141,964
192,964
270,964
354,964
506,964
651,964
822,964
823,964
188,965
234,965
302,965
303,965
349,965
555,965
564,965
612,965
775,965
833,965
904,965
252,966
301,966
385,966
551,966
760,966
765,966
16,967
22,967
54,968
71,968
202,968
211,968
215,968
256,968
309,968
392,968
461,968
546,968
563,968
713,968
752,968
54,969
158,969
256,969
495,969
734,969
107,970
287,970
530,970
685,970
705,970
821,970
881,970
947,970
24,971
153,971
182,971
264,971
347,971
380,971
499,971
125,972
169,972
301,972
514,972
637,972
716,972
94,973
239,973
545,974
863,974
173,975
249,975
274,975
331,975
481,975
560,975
643,975
870,975
968,975
28,976
281,976
348,976
470,976
584,976
670,976
684,976
963,976
224,977
417,977
670,977
64,978
169,978
332,978
526,978
577,978
592,978
697,978
712,978
756,978
33,979
93,979
361,979
443,979
567,979
742,979
814,979
70,980
142,980
196,980
259,980
306,980
329,980
336,980
398,980
550,980
676,980
764,980
851,980
864,980
16,982
90,982
450,982
493,982
535,982
579,982
651,982
963,982
4,983
98,983
204,983
419,983
437,983
445,983
737,983
129,984
301,984
349,984
363,984
563,984
743,984
886,984
962,984
22,985
82,985
182,985
368,985
388,985
453,985
511,985
624,985
825,985
47,986
119,986
686,986
107,987
145,987
271,987
377,987
426,987
545,987
586,987
675,987
703,987
834,987
891,987
919,987
814,988
26,989
110,989
309,989
317,989
417,989
452,989
567,989
659,989
726,989
758,989
895,989
158,990
210,990
249,990
615,990
693,990
765,990
87,991
95,991
163,991
573,991
581,991
872,991
923,991
307,992
480,992
497,992
534,992
630,992
651,992
803,992
895,992
30,993
75,993
134,993
475,993
633,993
893,993
311,994
335,994
635,994
653,994
865,994
169,995
183,995
370,995
821,995
985,995
653,996
51,997
89,997
115,997
245,997
274,997
345,997
390,997
541,997
636,997
718,997
902,997
101,998
115,998
284,998
443,998
540,998
671,998
806,998
115,999
178,999
377,999
407,999
472,999
473,999
577,999
633,999
122,1000
341,1000
636,1000
689,1000
852,1000
