"egoid","altid"
308,324
134,325
277,325
121,326
6,327
65,328
146,329
212,329
23,330
244,330
323,330
259,331
124,332
128,332
212,332
93,333
200,333
296,333
73,334
288,334
303,334
82,335
174,336
4,337
101,337
228,337
6,338
37,338
226,338
133,339
311,339
302,340
240,341
94,342
105,343
322,343
115,344
163,344
211,344
232,344
65,346
290,346
8,347
238,347
273,347
316,347
228,349
38,350
46,350
123,350
147,350
202,350
255,350
70,351
222,351
243,351
53,352
68,352
245,352
303,352
323,352
227,354
40,356
201,356
180,357
65,358
260,358
272,358
315,358
15,359
118,359
155,359
326,359
107,360
232,360
278,360
17,361
35,361
78,361
97,361
248,361
281,361
288,361
357,361
8,362
48,363
348,363
321,364
19,365
100,365
159,365
347,365
96,366
174,366
190,366
56,367
322,367
334,367
131,368
209,368
154,369
201,369
289,369
51,370
247,370
18,371
134,371
195,371
3,372
342,372
345,372
51,373
291,373
88,374
270,374
373,375
140,376
199,376
21,377
8,378
28,378
225,379
246,379
324,379
352,379
376,379
2,380
293,380
120,381
162,381
267,381
133,382
346,382
352,382
2,383
60,383
161,383
11,385
82,385
173,385
281,385
309,385
356,385
38,386
96,386
232,386
61,387
232,387
248,387
302,387
232,388
295,388
69,389
106,389
152,389
227,389
172,390
152,391
249,391
365,391
92,392
153,392
226,392
362,392
64,393
246,393
240,394
66,395
213,395
391,395
6,396
33,396
189,396
230,397
238,397
317,397
325,397
374,397
385,397
349,398
61,399
186,399
331,399
98,400
164,400
218,401
69,402
124,402
222,402
274,402
362,402
380,402
16,403
189,403
73,404
61,405
222,406
298,407
344,407
160,408
163,408
212,408
251,408
373,408
220,410
79,411
128,411
200,411
273,411
24,412
75,412
225,412
302,412
331,412
343,412
16,413
29,413
182,413
257,413
319,413
358,413
299,414
328,414
181,415
196,415
9,416
357,416
2,418
138,418
260,418
146,419
414,419
13,420
187,420
354,420
29,421
102,421
410,421
8,422
277,422
17,423
46,423
67,423
147,423
260,423
273,423
349,423
412,423
354,425
414,425
72,426
109,426
284,426
287,426
329,426
271,427
56,428
310,428
330,428
126,429
206,429
25,430
323,430
374,430
118,431
408,431
79,432
123,432
167,432
61,433
199,433
333,433
33,434
54,434
120,434
276,434
238,435
328,435
187,436
202,436
433,436
61,437
135,437
224,437
4,438
79,438
84,438
150,438
237,438
239,438
299,438
411,438
5,439
46,439
163,439
167,439
301,439
437,439
9,440
228,440
429,440
122,441
188,441
193,441
58,442
316,442
234,443
334,443
397,443
420,443
131,444
151,444
213,444
250,445
4,446
8,446
194,446
4,447
14,447
70,447
140,447
227,447
296,447
410,447
54,448
60,448
62,448
137,448
140,448
284,448
211,449
132,450
33,451
91,451
407,451
147,452
11,453
167,453
135,454
249,454
363,454
448,454
451,454
4,455
24,455
42,455
215,455
230,455
266,455
455,456
59,457
157,458
212,458
251,458
416,458
85,459
86,459
284,459
340,459
1,460
53,460
99,460
151,460
156,460
440,460
204,461
449,461
75,462
254,462
218,463
372,463
375,463
13,464
163,464
202,464
273,464
156,465
12,466
175,466
187,466
368,466
397,466
423,466
80,467
194,467
245,467
275,467
389,467
414,467
126,468
151,470
346,470
395,470
402,470
7,471
52,471
99,471
40,472
107,472
186,472
167,473
178,473
183,473
257,473
20,474
127,474
272,474
331,474
336,474
458,474
243,476
246,476
260,476
394,476
156,477
228,477
474,477
71,478
290,478
350,478
361,478
390,478
130,479
216,479
224,479
414,479
412,480
427,480
468,480
1,482
15,482
67,482
198,482
23,483
51,483
139,483
407,483
384,484
435,484
74,485
165,485
197,485
326,485
346,485
166,486
328,486
438,486
10,487
178,487
251,487
285,487
308,487
323,487
329,487
70,488
98,488
102,488
72,489
455,489
27,490
153,490
431,490
20,491
82,491
171,491
204,491
208,491
249,491
341,491
435,491
178,492
219,492
113,493
430,493
459,493
467,493
99,494
123,494
144,494
406,494
443,494
468,494
493,494
46,495
233,495
377,495
489,495
42,496
61,496
2,497
67,497
97,497
492,497
346,498
391,498
150,499
151,499
166,499
335,499
417,499
33,500
84,500
20,501
99,501
109,501
287,501
342,501
487,501
285,502
373,502
441,502
480,502
69,504
379,504
73,505
317,505
412,505
416,505
492,505
234,506
350,506
458,506
12,507
64,507
131,507
209,507
506,507
17,508
196,508
13,509
82,509
411,509
461,509
92,510
102,510
185,510
208,510
28,511
444,511
455,511
65,512
310,512
471,512
507,512
355,513
304,514
375,514
430,514
62,515
136,515
319,515
478,515
104,516
141,516
152,516
72,517
81,517
112,517
307,517
4,518
49,519
63,519
159,519
303,519
461,519
473,519
70,521
73,521
256,521
459,521
477,521
216,522
269,522
359,522
364,522
2,523
3,523
267,523
439,523
479,523
489,523
47,524
150,524
18,525
242,525
330,525
259,526
430,526
293,527
305,528
496,528
96,529
234,529
353,529
387,529
436,529
306,530
216,531
345,531
428,531
458,531
40,532
45,532
176,532
514,532
135,533
162,533
342,533
518,533
430,534
467,534
472,534
89,535
152,535
212,535
299,535
313,535
445,535
450,535
111,536
349,536
371,536
462,536
149,537
155,537
405,537
430,537
438,537
500,537
109,538
149,538
187,538
253,538
421,538
444,538
487,538
498,538
537,538
49,539
119,539
182,539
189,539
507,539
512,539
75,540
138,540
195,540
500,540
524,540
265,541
3,542
127,542
159,542
204,542
323,542
78,543
135,543
209,544
18,545
179,545
195,545
438,545
531,545
64,546
89,546
212,546
431,546
21,547
204,547
323,547
406,547
537,547
48,548
92,548
98,548
12,549
16,549
119,549
519,549
9,550
236,550
284,550
476,550
515,550
544,550
171,551
399,551
31,552
381,552
466,552
339,553
49,554
255,554
516,554
325,555
538,555
117,556
135,556
199,556
272,556
108,557
348,557
364,557
536,557
166,558
344,558
402,558
453,560
545,560
547,560
6,561
310,561
392,561
500,561
376,562
12,563
231,563
280,563
330,563
234,564
293,564
298,564
308,564
333,564
473,564
547,564
40,565
79,565
217,565
80,566
304,566
399,566
416,566
74,567
131,567
228,567
318,567
339,567
419,567
537,567
88,568
371,568
384,568
426,568
50,569
174,569
267,569
274,569
293,569
382,569
480,569
508,569
553,569
562,569
191,570
298,570
549,570
197,571
231,571
315,571
394,571
516,571
518,571
22,572
271,572
168,573
448,573
568,573
52,574
271,574
307,574
421,574
431,574
50,575
185,575
294,575
315,575
341,575
420,575
485,575
518,575
28,576
258,576
169,577
372,577
85,578
127,578
206,578
207,578
395,578
19,579
73,579
134,579
316,579
517,579
60,580
88,580
285,580
421,580
537,580
102,581
242,581
488,581
141,582
464,582
508,582
37,583
82,583
136,583
139,583
318,583
425,583
493,583
169,584
463,584
342,585
381,585
436,585
485,585
529,585
550,585
267,586
394,586
513,586
534,586
14,587
99,587
206,587
258,587
490,587
121,588
375,588
385,589
410,589
457,589
499,589
88,590
217,590
492,590
161,591
288,591
293,591
582,591
5,592
289,592
303,592
322,592
48,593
141,593
164,593
246,593
549,593
248,594
337,594
404,594
484,594
34,595
515,595
22,596
77,596
222,596
477,596
574,596
131,597
246,597
314,597
172,598
487,598
62,599
152,599
160,599
256,599
258,599
458,599
503,599
568,599
166,600
260,600
216,601
382,601
391,601
535,601
328,602
549,602
553,602
591,602
77,603
105,603
425,603
256,604
474,604
284,605
532,605
18,606
187,606
222,606
150,607
387,607
528,607
563,607
429,608
560,608
578,608
599,608
46,609
214,609
244,609
534,609
164,610
280,610
340,610
373,610
550,610
174,611
262,611
270,611
446,611
496,611
182,612
274,612
421,612
47,613
133,613
320,613
502,613
177,614
186,614
257,614
263,614
334,614
435,614
466,614
187,615
251,615
474,615
285,616
332,616
451,616
173,617
226,617
302,617
582,617
179,618
213,618
218,618
267,618
310,618
205,619
317,619
427,619
429,619
447,619
527,619
17,620
19,620
69,620
72,620
99,620
138,620
170,620
184,620
270,620
287,620
296,620
393,620
10,621
252,621
84,622
141,622
320,622
549,622
584,622
39,623
181,623
204,623
414,623
486,623
47,624
362,624
330,625
456,625
535,625
92,626
107,626
307,626
397,626
599,626
614,626
137,627
254,627
293,627
452,627
497,627
131,628
279,628
541,628
66,629
166,629
335,629
615,629
137,630
571,630
588,630
168,631
199,631
215,631
247,631
280,631
298,631
306,631
220,632
232,632
245,632
306,632
423,632
497,632
365,633
541,633
593,633
164,634
418,634
481,634
117,635
139,635
247,635
359,635
400,635
437,635
461,635
63,636
74,636
449,636
540,636
14,637
487,637
589,637
606,637
101,638
324,638
326,638
356,638
313,639
364,639
463,639
464,639
474,639
315,640
439,640
134,641
335,641
425,641
486,641
614,641
621,641
177,642
254,642
40,643
110,643
272,643
325,643
385,643
400,643
455,643
488,643
535,643
21,644
33,644
293,644
347,644
387,644
401,644
643,644
67,645
516,645
117,647
198,647
338,647
350,647
633,647
100,648
352,648
592,648
616,648
62,649
359,649
375,649
386,649
456,649
633,649
93,650
209,650
284,650
612,650
66,651
180,651
316,651
537,651
147,652
198,652
465,652
190,653
215,653
388,653
465,653
148,654
492,654
63,655
114,655
275,655
331,655
449,655
455,655
3,656
56,656
75,656
273,656
357,656
554,656
622,656
643,656
214,657
223,657
224,657
359,657
538,657
583,657
56,658
123,658
271,658
319,658
329,658
396,658
427,658
523,658
38,659
64,659
109,659
158,659
219,659
259,659
512,659
570,659
74,660
274,660
402,660
519,660
524,660
546,660
592,660
311,661
576,661
617,661
88,662
277,662
394,662
493,662
505,662
558,662
75,663
102,663
283,663
526,663
528,663
589,663
69,664
218,664
403,664
475,664
19,665
162,665
165,665
227,665
374,665
376,666
435,666
572,666
56,667
81,667
482,667
496,667
557,667
573,667
338,668
346,668
421,668
496,668
61,669
232,669
271,669
300,669
386,669
502,669
661,669
121,670
135,670
176,670
215,670
519,670
28,671
56,671
175,671
239,671
354,671
579,671
621,671
22,672
67,672
84,672
486,672
513,672
34,673
58,673
176,673
234,673
289,673
599,674
44,675
199,675
350,675
403,675
22,676
196,676
215,676
610,676
106,677
235,677
246,677
310,677
313,677
433,677
441,677
512,677
580,677
656,677
657,677
675,677
38,678
250,678
335,678
422,678
437,678
457,678
601,678
612,678
656,678
4,679
300,679
304,679
357,679
403,679
490,679
100,680
452,680
27,681
371,681
420,681
469,681
73,682
99,682
100,682
377,682
461,682
6,683
578,683
122,684
266,684
420,684
547,684
671,684
72,685
254,685
341,685
83,686
103,686
140,686
154,686
220,686
529,686
580,686
630,686
675,686
179,687
246,687
461,687
109,688
297,688
315,688
383,688
576,688
608,688
32,689
249,689
543,689
121,690
200,690
13,691
15,691
121,691
138,691
207,691
273,691
354,691
356,691
488,691
489,691
497,691
501,691
628,691
175,692
284,692
299,692
538,692
59,693
67,693
147,693
344,693
383,693
445,693
591,693
65,694
145,694
202,694
223,694
266,694
383,694
418,694
38,695
66,695
15,696
29,696
141,696
667,696
210,697
339,697
521,697
56,698
234,698
285,698
294,698
654,698
44,699
115,699
152,699
411,699
583,699
597,699
611,699
128,700
137,700
149,700
249,700
289,700
357,700
389,700
115,701
217,701
477,701
481,701
165,702
210,702
453,702
97,703
293,703
498,703
553,703
624,703
73,704
74,704
397,704
425,704
426,704
651,704
10,705
93,705
95,705
113,705
323,705
350,705
416,705
509,705
540,705
683,705
124,706
156,706
161,706
361,706
415,706
555,706
29,707
61,707
255,707
378,707
546,707
80,708
146,708
196,708
255,708
324,708
513,708
688,708
106,709
256,709
412,709
463,709
583,709
667,709
695,709
33,711
186,711
252,711
314,711
464,711
474,711
492,711
651,711
198,712
234,712
491,712
566,712
50,713
77,713
94,713
220,713
603,713
619,713
33,714
48,714
192,714
158,715
281,715
386,715
536,715
550,715
194,716
497,716
75,717
182,717
234,717
414,717
538,717
29,718
41,718
284,718
403,718
412,718
531,718
693,718
53,719
107,719
247,719
252,719
421,719
451,719
459,719
470,719
718,719
511,720
551,720
95,721
477,721
650,721
273,722
346,722
629,722
208,723
339,723
499,723
69,724
118,724
297,724
327,724
331,724
451,724
495,724
550,724
554,724
622,724
659,724
58,725
103,725
294,725
672,725
162,726
173,726
315,726
400,726
416,726
477,726
686,726
18,727
320,727
681,727
67,728
225,728
310,728
420,728
459,728
551,728
615,728
76,729
336,729
344,729
384,729
70,730
216,730
659,730
719,730
21,731
180,731
256,731
260,731
672,731
66,732
147,732
169,732
413,732
634,732
172,733
195,733
420,733
446,733
703,733
38,734
71,734
137,734
147,734
199,734
277,734
325,734
447,734
645,734
661,734
683,734
159,735
497,735
502,735
513,736
702,736
4,737
219,737
240,737
568,737
350,738
452,738
555,738
556,738
104,739
344,739
206,740
303,740
361,740
399,740
438,740
446,740
537,740
591,740
598,740
183,741
304,741
420,741
427,741
429,741
457,741
548,741
590,741
647,741
661,741
682,741
733,741
15,742
23,742
25,742
50,742
250,742
367,742
741,742
304,743
414,743
565,743
602,743
665,743
51,744
78,744
95,744
102,744
172,744
324,744
555,744
29,745
42,745
252,745
629,745
642,745
9,746
108,746
186,746
256,746
384,746
495,746
27,747
213,747
343,747
409,747
448,747
712,747
714,747
732,747
202,748
218,748
340,748
458,748
568,748
608,748
65,749
379,749
528,749
662,749
685,749
722,749
741,749
142,750
234,750
128,751
285,751
495,751
102,752
261,752
285,752
440,752
442,752
523,752
546,752
585,752
722,752
25,753
231,753
258,753
457,753
621,753
91,754
215,754
306,754
688,754
698,754
482,755
80,756
118,756
260,756
273,756
346,756
534,756
661,756
725,756
59,757
271,757
384,757
492,757
343,758
526,758
559,758
76,759
336,759
32,760
89,760
438,760
478,760
678,760
59,761
72,761
275,761
389,761
414,761
438,761
481,761
47,762
303,762
423,762
504,762
555,762
572,762
623,762
666,762
675,762
754,762
93,763
615,763
754,763
9,764
428,764
434,764
583,764
72,765
208,765
241,765
385,765
687,765
727,765
211,766
503,766
630,766
706,766
726,766
191,767
346,767
418,767
482,767
513,767
124,768
171,768
471,768
639,768
662,768
694,768
695,768
184,769
3,770
69,770
218,770
300,770
407,770
620,770
658,770
685,770
169,771
242,771
382,771
448,771
557,771
659,771
79,772
289,772
542,772
71,773
262,773
277,773
384,773
574,773
613,773
39,774
253,774
388,774
578,774
696,774
31,775
253,775
403,775
648,775
702,775
745,775
19,776
28,776
147,776
284,776
560,776
31,777
222,777
271,777
296,777
395,777
772,777
150,778
253,778
340,778
370,778
17,779
72,779
101,779
104,779
155,779
258,779
349,779
350,779
476,779
556,779
672,779
777,779
13,780
265,780
544,780
683,780
727,780
496,781
603,781
608,781
766,781
554,782
657,782
737,782
84,783
164,783
233,783
452,783
337,784
339,784
377,784
477,784
498,784
536,784
696,784
755,784
197,785
605,785
700,785
150,786
209,786
274,786
351,786
461,786
577,786
595,786
658,786
6,787
25,787
142,787
461,787
690,787
1,788
123,788
212,788
305,788
312,788
455,788
84,789
104,789
122,789
145,789
190,789
456,789
551,789
563,789
671,789
220,790
255,790
286,790
367,790
376,790
236,791
292,791
480,791
557,791
179,792
285,792
333,792
368,792
375,792
434,792
483,792
531,792
626,792
51,793
198,793
238,793
331,793
414,793
540,793
626,793
751,793
73,794
103,794
132,794
179,794
245,794
346,794
81,795
140,795
675,795
730,795
787,795
208,796
471,796
536,796
702,796
726,796
146,797
279,797
602,797
147,798
178,798
194,798
363,798
422,798
505,798
565,798
684,798
796,798
35,799
265,799
329,799
504,799
576,799
762,799
127,800
337,800
460,800
51,801
58,801
230,801
422,801
464,801
490,801
566,801
110,802
244,802
304,802
378,802
605,802
638,802
736,802
6,803
326,803
540,803
655,803
226,804
468,804
474,804
782,804
3,805
24,805
124,805
133,805
310,805
427,805
512,805
626,805
792,805
138,806
184,806
281,806
431,806
574,806
1,807
54,807
670,807
182,808
392,808
536,808
611,808
617,808
695,808
754,808
93,809
196,809
293,809
584,809
674,809
716,809
795,809
136,810
230,810
417,810
661,810
735,810
169,811
232,811
262,811
267,811
423,811
430,811
464,811
481,811
527,811
596,811
671,811
27,812
138,812
153,812
177,812
342,812
347,812
526,812
531,812
678,812
690,812
234,813
678,813
245,814
280,814
565,814
679,814
143,815
474,815
486,815
579,815
4,816
244,816
413,816
521,816
621,816
90,817
157,817
169,817
188,817
757,817
3,818
49,818
150,818
341,818
521,818
2,819
98,819
126,819
412,819
537,819
721,819
789,819
4,820
83,820
159,820
186,820
262,820
270,820
271,820
328,820
345,820
657,820
17,821
77,821
553,821
613,821
131,822
489,822
766,822
101,823
112,823
442,823
616,823
784,823
124,824
264,824
454,824
591,824
648,824
747,824
360,825
391,825
453,825
600,825
606,825
619,825
652,825
726,825
791,825
209,826
379,826
429,826
433,826
472,826
616,826
658,826
698,826
729,826
805,826
107,827
616,827
295,828
457,828
504,828
534,828
731,828
73,829
84,829
316,829
348,829
350,829
640,829
95,830
184,830
299,830
795,830
259,831
345,831
370,831
527,831
602,831
695,831
814,831
818,831
234,832
495,832
61,833
215,833
246,833
375,833
430,833
729,833
744,833
748,833
824,833
497,834
643,834
777,834
9,835
119,835
614,835
624,835
111,836
266,836
305,836
564,836
835,836
98,837
100,837
111,837
155,837
303,837
312,837
518,837
69,838
431,838
439,838
494,838
617,838
721,838
205,839
564,839
319,840
366,840
437,840
563,840
580,840
822,840
155,841
476,841
767,841
12,842
109,842
116,842
257,842
360,843
458,843
639,843
675,843
798,843
819,843
130,844
253,844
321,844
358,844
414,844
455,844
640,844
81,845
400,845
639,845
839,845
17,846
150,846
198,846
552,846
827,846
72,847
208,847
234,847
322,847
384,847
453,847
519,847
555,847
579,847
771,847
495,848
602,848
681,848
40,849
111,849
287,849
382,849
821,849
25,850
155,850
303,850
403,850
606,850
653,850
781,850
85,851
405,851
490,851
22,852
152,852
202,852
421,852
508,852
533,852
602,852
218,853
260,853
457,853
505,853
365,854
382,854
503,854
717,854
772,854
807,854
190,855
283,855
309,855
452,855
460,855
668,855
705,855
819,855
849,855
98,857
422,857
621,857
658,857
699,857
854,857
25,858
184,858
273,858
471,858
558,858
567,858
582,858
784,858
803,858
63,859
340,859
455,859
549,859
640,859
679,859
312,860
735,860
767,860
73,861
186,861
359,861
366,861
370,861
384,861
523,861
642,861
11,862
65,862
135,862
142,862
337,862
461,862
518,862
16,863
202,863
516,863
212,864
240,864
424,864
739,864
842,864
858,864
63,865
171,865
302,865
384,865
398,865
439,865
591,865
732,865
8,866
34,866
41,866
159,866
407,866
482,866
597,866
669,866
784,866
830,866
35,867
200,867
357,867
376,867
679,867
771,867
104,868
492,868
542,868
753,868
823,868
836,868
181,869
327,869
691,869
730,869
73,870
200,870
350,870
492,870
692,870
700,870
179,871
323,871
816,871
841,871
101,872
337,872
505,872
566,872
631,872
752,872
868,872
78,873
247,873
621,873
658,873
189,874
475,874
825,874
858,874
127,875
446,875
581,875
675,875
772,875
870,875
346,876
352,876
400,876
435,876
608,876
815,876
82,877
129,877
490,877
634,877
775,877
237,878
516,878
48,879
242,879
457,879
531,879
755,879
7,880
178,880
192,880
218,880
275,880
283,880
490,880
510,880
558,880
317,881
365,881
424,881
620,881
650,881
176,882
340,882
372,882
528,882
560,882
603,882
65,883
559,883
602,883
638,883
651,883
832,883
842,883
882,883
5,884
20,884
581,884
652,884
669,884
734,884
861,884
73,885
294,885
354,885
405,885
462,885
601,885
608,885
51,886
74,886
76,886
403,886
505,886
600,886
846,886
249,887
318,887
338,887
809,887
143,888
174,888
532,888
22,889
57,889
67,889
280,889
413,889
414,889
874,889
70,890
322,890
470,890
608,890
199,891
412,891
550,891
803,891
48,892
106,892
215,892
272,892
348,892
396,892
590,892
633,892
645,892
6,893
52,893
121,893
209,893
497,893
509,893
645,893
802,893
823,893
886,893
52,894
385,894
460,894
561,894
879,894
888,894
13,895
70,895
164,895
185,895
250,895
576,895
728,895
759,895
209,896
484,896
730,896
131,897
206,897
483,897
683,897
272,898
333,898
381,898
514,898
552,898
746,898
193,899
375,899
379,899
515,899
618,899
640,899
797,899
848,899
853,899
873,899
4,900
10,900
139,900
232,900
373,900
430,900
490,900
496,900
555,900
645,900
880,900
225,901
664,901
762,901
8,902
126,902
163,902
190,902
227,902
253,902
261,902
301,902
494,902
508,902
664,902
44,903
562,903
772,903
779,903
11,904
114,904
125,904
178,904
226,904
245,904
322,904
766,904
25,905
53,905
236,905
369,905
435,905
447,905
486,905
506,905
560,905
12,906
319,906
351,906
445,906
603,906
616,906
862,906
299,907
46,908
422,908
809,908
80,909
138,909
403,909
500,909
502,909
619,909
860,909
863,909
401,910
414,910
450,910
454,910
513,910
516,910
196,911
232,911
235,911
569,911
753,911
37,912
89,912
158,912
332,912
363,912
442,912
450,912
830,912
72,913
119,913
870,913
198,914
252,914
65,915
109,915
126,915
190,915
300,915
348,915
464,915
794,915
841,915
87,916
234,916
324,916
536,916
766,916
110,917
207,917
133,918
353,918
779,918
344,919
485,919
551,919
655,919
774,919
843,919
73,920
279,920
498,920
609,920
14,921
338,921
435,921
567,921
682,921
683,921
858,921
783,922
51,923
115,923
135,923
469,923
565,923
639,923
695,923
703,923
757,923
65,924
195,924
363,924
382,924
611,924
655,924
683,924
796,924
820,924
901,924
12,925
397,925
405,925
557,925
593,925
609,925
758,925
924,925
6,926
265,926
709,926
852,926
922,926
111,927
200,927
300,927
487,927
493,927
659,927
687,927
888,927
47,928
94,928
112,928
150,928
174,928
414,928
439,928
678,928
681,928
39,929
384,929
411,929
494,929
501,929
668,929
688,929
901,929
1,930
91,930
136,930
236,930
349,930
431,930
647,930
809,930
861,930
888,930
202,931
316,931
439,931
527,931
604,931
869,931
16,932
75,932
254,933
300,933
339,933
521,933
606,933
626,933
817,933
1,934
47,934
198,934
318,934
363,934
563,934
695,934
717,934
771,934
891,934
10,935
109,935
218,935
411,935
482,935
545,935
657,935
849,935
882,935
88,936
274,936
331,936
426,936
587,936
791,936
795,936
807,936
247,937
453,937
473,937
683,937
849,937
43,938
60,938
85,938
199,938
270,938
521,938
675,938
807,938
879,938
28,939
138,939
188,939
230,939
239,939
402,939
762,939
193,940
760,940
869,940
86,941
282,941
414,941
433,941
527,941
529,941
900,941
186,942
212,942
276,942
318,942
387,942
637,942
639,942
734,942
824,942
7,943
373,943
820,943
842,943
37,944
165,944
337,944
350,944
439,944
589,944
825,944
939,944
43,945
88,945
91,945
222,945
334,945
747,945
921,945
27,946
69,946
198,946
246,946
466,946
468,946
754,946
784,946
830,946
35,947
61,947
113,947
123,947
178,947
212,947
539,947
672,947
792,947
890,947
920,947
945,947
599,948
627,948
663,948
734,948
843,948
875,948
115,949
193,949
612,949
757,949
19,950
26,950
221,950
516,950
577,950
588,950
748,950
764,950
771,950
906,950
20,951
148,951
157,951
258,951
302,951
378,951
673,951
760,951
845,951
852,951
20,952
47,952
608,952
680,952
391,953
402,953
430,953
629,953
755,953
770,953
820,953
210,954
405,954
562,954
712,954
48,955
194,955
424,955
462,955
580,955
763,955
155,956
188,956
288,956
535,956
676,956
693,956
766,956
143,957
375,957
653,957
804,957
928,957
54,958
96,958
490,958
583,958
593,958
599,958
813,958
908,958
939,958
152,959
295,959
446,959
572,959
679,959
792,959
827,959
904,959
4,960
318,960
334,960
361,960
882,960
927,960
22,961
191,961
201,961
331,961
407,961
435,961
488,961
558,961
818,961
90,962
311,962
506,962
711,962
747,962
959,962
74,963
218,963
888,963
947,963
28,964
430,964
474,964
484,964
671,964
39,965
131,965
229,965
288,965
554,965
557,965
704,965
727,965
746,965
787,965
907,965
110,966
276,966
598,966
602,966
724,966
94,967
110,967
200,967
274,967
362,967
416,967
517,967
671,967
786,967
939,967
81,968
749,968
792,968
922,968
50,969
226,969
453,969
780,969
200,970
241,970
258,970
273,970
351,970
536,970
845,970
30,971
357,971
525,971
696,971
729,971
15,972
497,972
614,972
645,972
664,972
783,972
87,973
324,973
420,973
908,973
300,974
541,974
607,974
654,974
683,974
775,974
821,974
837,974
686,975
328,976
362,976
423,976
577,976
670,976
853,976
912,976
152,977
214,977
416,977
32,978
52,978
258,978
263,978
293,978
460,978
464,978
514,978
603,978
65,979
135,979
403,979
552,979
776,979
782,979
231,980
453,980
535,980
741,980
749,980
67,981
212,981
217,981
280,981
601,981
718,981
803,981
961,981
966,981
969,981
236,982
290,982
661,982
715,982
724,982
801,982
933,982
134,983
332,983
475,983
503,983
530,983
601,983
789,983
811,983
16,984
26,984
283,984
372,984
406,984
665,984
755,984
881,984
914,984
976,984
41,985
261,985
278,985
456,985
633,985
665,985
719,985
729,985
801,985
824,985
831,985
27,986
53,986
257,986
367,987
436,987
567,987
587,987
605,987
716,987
835,987
939,987
105,988
109,988
200,988
387,988
727,988
895,988
8,989
90,989
226,989
648,989
656,989
879,989
892,989
287,991
662,991
669,991
702,991
764,991
793,991
838,991
197,992
246,992
257,992
270,992
635,992
716,992
968,992
43,993
60,993
414,993
483,993
536,993
602,993
678,993
103,994
22,995
141,995
175,995
261,995
472,995
843,995
859,995
42,996
97,996
135,996
258,996
410,996
414,996
430,996
496,996
854,996
23,997
139,997
165,997
363,997
370,997
382,997
643,997
913,997
959,997
10,998
122,998
160,998
199,998
333,998
339,998
652,998
863,998
976,998
31,999
78,999
106,999
249,999
307,999
339,999
402,999
441,999
492,999
518,999
659,999
692,999
