"id","age","female","education","happy_t0","happy_t1"
217,62,0,1,26,69
218,73,0,3,26,70
219,40,0,4,24,49
220,84,0,3,27,49
221,64,0,3,26,51
222,60,1,2,26,43
223,51,0,4,24,42
224,74,1,5,22,31
225,21,0,3,23,47
226,55,1,4,25,36
227,64,1,2,27,53
228,71,1,5,21,49
229,23,1,2,25,40
231,20,1,1,23,52
232,62,1,4,28,39
233,26,0,4,27,68
234,75,1,5,28,59
235,85,1,3,27,59
236,83,1,4,24,54
237,47,0,5,23,48
238,39,1,4,24,32
239,35,0,5,23,32
240,76,1,2,25,55
241,80,0,1,26,40
242,37,0,5,20,24
243,67,0,3,24,37
244,70,1,4,22,58
245,43,1,1,24,33
246,31,0,3,21,46
247,50,1,3,27,57
248,51,1,3,24,39
249,47,1,2,21,44
250,71,1,1,29,79
251,67,1,5,24,66
252,33,0,2,27,62
253,50,1,2,25,38
254,41,1,4,19,27
255,81,1,5,29,61
256,26,1,2,29,74
257,23,1,3,23,68
258,40,0,5,25,47
259,33,0,3,28,84
260,21,1,1,26,62
261,55,1,2,27,41
262,59,0,1,22,57
263,38,0,1,22,26
264,33,1,1,24,44
265,90,0,4,28,50
266,81,0,1,27,45
267,76,1,4,20,34
268,30,1,3,24,61
269,41,1,4,28,60
270,35,0,5,24,27
271,77,1,1,27,48
272,52,0,4,27,67
273,44,0,5,24,67
274,24,1,3,27,35
275,86,0,3,23,71
276,71,0,4,25,57
277,24,0,2,21,27
278,47,0,2,30,66
279,50,0,4,25,47
280,20,0,1,23,58
281,30,0,3,22,58
282,26,1,4,25,66
283,79,0,4,24,56
284,72,1,3,25,58
285,42,1,4,24,30
286,57,1,3,21,52
287,68,1,4,25,48
288,86,0,3,22,34
289,55,0,2,26,54
290,28,1,3,22,27
291,69,0,3,29,65
292,72,0,5,24,38
293,22,1,3,22,39
294,68,0,5,24,32
295,38,0,4,23,32
296,73,0,2,25,49
297,21,1,2,27,29
298,30,0,2,25,65
299,74,1,1,25,46
300,73,0,1,28,99
301,67,1,4,22,41
302,85,0,1,29,66
303,52,0,4,27,54
304,21,1,5,20,36
305,46,0,3,26,59
306,84,1,4,28,54
307,59,1,2,26,48
308,83,0,2,29,75
309,60,1,5,25,39
310,45,1,3,24,54
311,58,0,4,19,37
312,44,1,1,23,78
313,65,0,1,23,65
314,31,1,3,21,24
315,68,0,5,21,7
316,32,0,2,29,73
317,79,1,2,24,39
318,63,1,2,25,68
319,20,1,2,29,55
320,72,1,2,31,92
321,79,1,5,29,55
322,58,0,2,26,57
323,56,1,1,27,41
324,53,0,4,20,26
325,43,1,5,31,61
326,49,1,2,24,47
327,90,1,1,28,70
328,87,0,3,22,63
329,48,1,5,28,61
330,81,0,5,23,35
331,55,1,3,22,60
332,48,0,1,25,36
333,59,0,4,29,63
334,72,1,4,24,30
335,70,1,1,27,83
336,62,0,4,22,23
337,79,0,5,24,57
338,89,0,4,20,35
339,31,1,2,27,58
340,59,1,2,28,77
341,89,1,5,22,45
342,33,1,4,24,32
343,50,0,2,29,70
344,36,0,2,28,60
345,32,1,1,28,77
346,72,1,3,26,49
347,80,1,4,21,22
348,50,1,4,21,56
349,59,1,5,29,29
350,26,0,5,21,54
351,60,0,2,27,48
352,76,1,5,26,64
353,86,0,4,31,82
354,86,0,1,23,54
355,76,1,5,26,33
356,48,1,2,30,74
357,79,0,1,29,100
358,54,0,5,19,17
359,28,1,3,24,12
360,48,0,5,26,56
361,66,0,1,23,47
362,45,0,4,22,36
363,62,1,3,21,40
364,51,0,4,26,71
365,63,0,5,21,40
366,54,0,2,21,34
367,40,0,5,27,59
368,55,1,5,22,41
369,20,1,2,22,42
370,88,0,4,23,52
371,70,1,3,27,64
372,41,0,2,26,55
373,86,0,1,29,77
374,86,1,1,26,63
375,37,1,1,24,39
376,85,1,4,26,38
377,74,0,1,26,71
378,79,0,4,24,65
379,70,0,3,30,94
380,23,1,5,25,21
381,25,1,4,24,47
382,38,0,2,27,62
383,25,1,2,28,61
384,38,0,5,23,65
385,48,0,4,23,51
386,53,1,3,22,29
387,56,0,4,21,16
388,69,0,2,24,56
389,65,0,5,24,65
390,71,1,1,25,48
391,88,1,4,26,50
392,50,1,1,28,88
393,82,0,3,23,39
394,31,0,5,26,81
395,18,1,3,25,45
396,45,1,4,29,47
397,26,1,4,23,36
398,58,0,1,24,44
399,28,1,3,22,52
400,82,1,5,24,38
401,18,0,1,26,60
402,56,0,1,23,49
403,18,1,4,25,61
404,74,1,2,27,57
405,68,1,5,19,5
406,30,1,4,26,38
407,35,1,5,21,26
408,38,0,2,22,48
409,26,0,3,20,52
410,68,0,4,25,49
411,62,1,3,28,83
412,64,1,5,25,80
413,69,0,3,24,32
414,23,0,3,27,72
415,58,0,1,25,61
416,56,1,4,25,35
417,37,0,3,25,46
418,20,0,1,25,52
419,42,0,4,29,52
420,47,1,1,26,40
421,76,0,2,26,71
422,49,1,3,23,49
423,81,0,2,25,75
424,75,1,4,24,45
425,31,1,3,24,35
426,69,0,5,22,44
427,18,0,3,23,56
428,57,0,1,27,67
429,47,0,5,26,59
430,73,1,4,26,36
431,41,1,1,28,60
432,52,0,2,25,48
433,58,1,4,23,64
434,39,0,3,20,22
435,54,0,3,27,49
436,44,1,3,24,74
437,40,0,2,23,51
438,64,1,1,27,56
439,48,1,2,26,61
440,34,1,1,24,36
441,34,1,5,26,39
442,80,1,1,32,79
443,70,1,1,29,62
444,56,0,5,24,69
445,83,0,1,26,56
446,25,1,4,25,48
447,56,0,5,20,49
448,76,0,2,24,61
449,33,0,3,21,35
450,49,0,3,26,71
451,34,0,2,24,50
452,75,1,4,20,26
453,86,0,1,26,44
454,49,0,1,27,73
455,86,0,1,27,53
456,19,1,1,26,57
457,87,1,5,23,49
458,45,1,3,24,49
459,18,1,2,29,55
460,84,0,5,27,51
461,46,0,2,26,79
462,26,0,1,25,54
463,38,0,4,21,35
464,82,0,3,23,63
465,69,1,2,26,42
466,71,0,3,24,44
467,38,0,2,23,62
468,58,0,5,27,54
469,68,0,1,28,47
470,66,0,2,26,67
471,83,0,3,23,47
472,57,0,4,27,19
473,90,1,5,29,75
474,82,1,5,27,64
475,63,1,5,23,46
476,87,0,1,25,40
477,64,0,2,24,57
478,61,0,4,26,53
479,68,0,2,27,69
480,65,0,2,21,26
481,86,1,4,26,23
482,34,1,4,23,45
483,75,0,1,27,49
484,60,0,4,25,35
485,35,1,5,21,25
486,67,0,4,25,49
487,72,0,3,25,33
488,67,0,5,28,32
489,80,0,5,27,54
490,81,1,3,23,44
491,24,0,1,22,38
492,78,0,2,23,56
493,29,1,2,23,52
494,48,0,1,27,52
495,67,1,4,21,31
496,26,0,1,22,57
497,57,1,1,23,41
498,82,0,1,25,50
499,87,1,2,25,45
500,56,0,4,29,42
501,66,1,2,19,28
502,41,1,3,28,60
503,21,0,3,24,39
504,82,1,1,25,50
505,57,1,1,27,63
506,69,1,2,20,30
507,88,0,1,28,57
508,70,0,4,21,50
509,44,0,3,26,58
510,33,1,4,28,38
511,51,1,5,25,25
512,31,1,1,29,69
513,31,0,1,24,50
514,20,0,3,27,37
515,30,1,5,18,14
516,19,1,2,26,58
517,79,0,5,23,65
518,20,0,4,25,55
519,30,0,2,27,50
520,50,1,3,29,67
521,89,1,1,22,50
522,34,1,1,24,62
523,82,1,5,24,48
524,33,1,5,24,25
525,29,0,2,24,44
526,35,0,3,22,57
527,62,0,1,23,68
528,57,1,4,22,48
529,18,0,1,26,62
530,83,1,4,29,53
531,79,0,3,20,42
532,70,0,2,20,76
533,61,1,1,29,67
534,83,0,3,25,75
535,35,1,2,27,65
536,82,1,3,24,59
537,28,1,5,22,38
538,66,1,1,27,52
539,81,1,1,21,53
540,32,1,5,23,50
541,27,1,2,25,63
542,30,1,4,26,53
543,22,1,1,30,63
544,59,1,1,26,63
545,31,1,4,26,58
546,42,1,2,26,64
547,21,1,2,23,23
548,34,0,2,22,51
549,45,0,1,28,51
550,58,0,2,27,41
551,71,0,1,29,87
552,34,1,4,33,69
553,52,1,3,22,55
554,70,1,5,25,60
555,27,1,2,25,56
556,90,0,2,25,47
557,57,1,2,22,47
558,84,1,3,25,50
559,49,1,1,25,76
560,45,0,1,24,49
561,84,0,3,27,77
562,88,1,5,26,44
563,33,0,5,20,43
564,70,0,5,25,38
565,85,0,1,25,66
566,77,1,3,26,67
567,84,0,2,27,58
568,80,0,1,27,65
569,38,0,1,24,65
570,60,0,2,22,65
571,19,0,1,28,80
572,89,1,1,26,54
573,58,0,3,24,50
574,36,1,4,27,42
575,85,0,4,23,37
576,62,1,4,25,30
577,81,1,5,26,45
578,86,0,2,24,66
579,66,0,3,24,39
580,66,0,2,26,58
581,71,0,4,29,72
582,20,0,4,24,27
583,83,1,3,27,58
584,42,1,2,26,47
585,37,0,2,23,54
586,34,1,3,25,48
587,74,1,1,23,41
588,70,0,4,24,44
589,86,0,2,23,38
590,62,1,5,26,38
591,45,0,5,24,70
592,21,0,3,29,56
593,21,1,5,25,50
594,73,0,1,27,70
595,50,1,5,20,26
596,31,0,4,25,30
597,51,0,5,23,37
598,36,0,3,26,41
599,19,1,5,22,9
600,58,1,2,24,67
601,56,0,1,31,84
602,55,0,4,25,49
603,50,1,1,25,47
604,75,1,4,27,49
605,41,1,1,26,54
606,19,1,2,25,38
607,45,0,5,29,46
608,56,0,3,25,58
609,45,0,4,30,45
610,82,0,4,25,48
611,56,1,1,29,70
612,53,0,3,24,78
613,64,1,4,23,31
614,58,1,3,22,29
615,37,0,5,22,59
616,45,1,2,25,62
617,77,1,2,27,69
618,55,0,4,20,34
619,86,1,5,24,72
620,54,1,2,29,70
621,23,1,1,28,65
622,39,1,2,25,43
623,69,0,1,23,78
624,81,1,1,30,57
625,26,1,5,24,45
626,47,0,3,24,38
627,62,0,2,22,49
628,23,0,2,23,51
629,62,1,1,26,53
630,39,1,1,28,44
631,34,0,1,25,49
632,18,0,4,23,50
633,88,1,3,25,53
634,78,0,4,30,77
635,60,1,3,21,42
636,39,0,5,23,45
637,81,1,3,27,71
638,54,1,1,24,45
639,58,0,2,25,74
640,88,1,4,27,52
641,43,0,5,21,29
642,68,1,1,22,32
643,59,1,1,25,57
644,75,1,5,23,29
645,37,0,1,30,73
646,41,1,1,26,43
647,47,1,2,29,73
648,57,1,3,28,48
649,64,1,5,28,80
650,84,1,5,28,28
651,71,1,3,25,47
652,45,1,2,24,45
653,18,0,3,23,65
654,72,0,5,24,63
655,68,0,3,22,28
656,32,0,2,29,57
657,41,0,2,28,55
658,52,1,3,24,50
659,61,0,1,28,54
661,61,1,1,22,40
662,80,0,4,25,82
663,59,1,4,25,55
664,83,0,4,20,28
665,61,0,3,21,33
666,19,1,4,24,47
667,23,1,5,20,39
668,53,0,2,24,56
669,88,0,5,21,40
670,50,0,4,22,39
671,45,1,2,25,35
672,31,1,4,23,57
673,87,0,4,25,50
674,72,0,1,23,46
675,36,1,3,25,74
676,36,1,5,26,70
677,20,0,5,23,33
678,79,0,1,28,60
679,68,1,3,22,46
680,30,1,3,21,52
681,81,1,4,29,64
682,89,1,5,25,59
683,50,1,1,27,52
684,48,0,3,26,66
685,27,1,5,23,34
686,32,0,1,27,62
687,80,0,2,27,59
688,38,0,3,24,44
689,74,1,2,28,52
690,70,1,3,28,69
691,82,1,5,23,29
692,77,1,4,26,46
693,71,0,2,24,61
694,35,1,3,21,49
695,34,0,5,26,59
696,62,0,4,21,29
697,84,0,2,24,55
698,83,0,1,25,89
699,20,0,4,22,23
700,54,1,3,24,42
701,71,1,4,26,52
702,36,0,5,26,53
703,90,0,4,22,41
704,24,0,2,29,81
705,80,0,3,27,38
706,83,0,3,25,31
707,60,0,4,21,61
708,68,1,4,26,44
709,27,1,2,27,61
710,62,1,1,29,69
711,33,0,4,29,67
712,49,1,1,24,67
713,54,1,5,27,61
714,54,0,3,27,54
715,79,1,4,28,46
716,86,0,5,29,81
717,55,1,1,25,43
718,90,1,3,26,26
719,40,1,1,27,55
720,67,1,4,27,42
721,50,0,2,25,68
722,61,0,4,23,35
723,33,0,3,27,61
724,83,1,5,21,48
725,24,1,2,24,59
726,36,1,4,30,36
727,65,1,2,23,45
728,44,1,4,24,59
729,60,0,5,26,72
730,87,0,4,26,47
731,66,0,2,28,40
732,63,0,3,21,39
733,76,1,1,23,38
734,71,1,3,29,61
735,35,0,3,29,51
736,75,0,4,27,34
737,81,1,4,24,33
738,59,0,1,27,52
739,66,1,2,30,70
740,84,1,2,30,77
741,78,1,2,27,51
742,82,1,4,24,56
743,72,1,1,25,58
744,87,0,3,25,65
745,84,0,2,26,56
746,46,1,3,22,63
747,30,0,3,23,53
748,23,0,2,27,52
749,18,0,3,20,47
750,24,0,1,24,52
751,55,0,3,24,57
752,60,1,4,29,62
753,24,1,3,25,45
754,22,0,3,26,59
755,65,1,4,32,79
756,84,1,4,26,57
757,90,0,1,25,39
758,35,1,3,26,43
759,30,0,2,22,14
760,71,1,4,23,19
761,87,0,4,25,64
762,60,0,4,23,44
763,86,0,5,23,51
764,34,0,2,23,40
765,67,0,1,24,53
766,66,0,1,29,54
767,55,0,1,25,32
768,41,1,2,25,38
769,66,1,1,24,73
770,80,0,1,27,66
771,44,0,3,22,29
772,90,0,1,24,63
773,35,1,4,25,25
774,38,1,5,30,61
775,25,0,4,25,60
776,79,1,4,29,75
777,55,0,2,23,54
778,69,1,4,26,64
779,78,1,3,26,74
780,74,0,1,28,75
781,23,1,5,21,39
782,25,1,1,26,24
783,21,1,1,23,49
784,87,0,1,22,56
785,39,0,1,23,40
786,49,0,2,31,56
787,35,1,4,28,45
788,67,1,4,23,36
789,48,0,1,25,43
790,54,1,2,29,80
791,28,0,4,20,12
792,35,1,1,27,32
793,38,0,5,22,29
794,64,0,3,28,65
795,36,0,3,27,60
796,89,0,3,30,76
797,57,1,2,27,67
798,52,1,4,29,79
799,21,1,2,26,59
800,63,0,2,28,47
801,21,0,3,23,37
802,64,0,1,24,59
803,37,1,5,24,58
804,79,1,5,29,59
805,29,1,5,27,39
806,32,1,5,23,45
807,44,0,5,20,21
808,41,1,2,27,65
809,74,0,4,21,45
810,46,0,3,23,76
811,35,1,5,25,41
812,81,0,4,27,50
813,74,0,5,24,41
814,68,0,2,27,82
815,53,1,4,24,62
816,53,1,3,20,47
817,57,0,1,25,57
818,44,1,3,29,53
819,37,0,5,25,48
820,33,0,3,26,35
821,26,1,3,23,32
822,41,0,4,27,26
823,76,1,2,27,35
824,90,1,4,27,58
825,22,0,4,20,53
826,44,1,2,25,38
827,80,1,2,21,45
828,69,0,2,25,53
829,51,0,4,26,39
830,33,1,2,27,50
831,57,1,5,26,80
832,83,1,2,24,44
833,27,0,1,19,17
834,45,1,5,27,50
835,25,0,5,23,26
836,27,0,5,26,56
837,74,0,4,23,27
838,32,0,2,21,36
839,27,1,2,27,50
840,64,0,4,23,48
841,60,0,3,30,74
842,85,1,3,26,54
843,27,1,3,27,45
844,87,1,3,27,44
845,21,1,5,28,52
846,68,1,5,22,30
847,19,1,4,27,62
848,27,1,5,24,40
849,36,1,3,24,38
850,49,0,3,22,30
851,49,1,4,26,53
852,54,0,3,23,46
853,46,0,1,27,46
854,50,1,4,23,62
855,45,1,5,27,51
856,48,0,2,30,79
857,63,0,2,26,65
858,78,1,1,25,67
859,21,0,4,24,59
860,59,1,2,24,50
861,34,1,5,23,70
862,77,0,5,23,30
863,35,0,2,26,49
864,89,1,3,25,36
865,40,0,3,26,68
866,26,1,5,24,33
867,52,1,4,27,47
868,40,0,4,23,44
869,66,0,3,29,74
870,24,0,5,26,34
871,40,0,1,27,62
872,85,1,1,29,71
873,81,0,4,24,58
874,35,0,5,24,47
875,48,0,2,25,39
876,44,0,4,23,32
877,48,1,4,25,56
878,21,1,1,26,37
879,90,0,4,20,30
880,54,1,4,21,38
881,28,0,1,26,49
882,50,1,3,22,33
883,79,1,4,30,46
884,72,0,3,25,46
885,80,0,2,30,60
886,18,0,1,28,58
887,27,0,3,21,22
888,27,1,3,25,58
889,40,0,2,24,37
890,43,1,1,22,50
891,89,1,2,24,43
892,58,1,5,23,41
893,22,1,2,27,57
894,57,1,5,27,36
895,56,1,5,26,53
896,18,1,4,29,34
897,42,0,5,25,59
898,51,1,4,24,67
899,42,0,4,25,42
900,51,0,1,26,50
901,82,1,3,21,33
902,83,1,1,26,71
903,22,0,4,28,51
904,47,1,5,23,54
905,42,0,4,20,23
906,78,0,3,23,62
907,41,1,5,24,46
908,28,1,1,25,31
909,33,0,1,26,47
910,73,1,4,29,50
911,90,1,2,27,50
912,19,1,5,19,0
913,26,0,2,24,57
914,66,0,1,26,63
915,32,0,4,23,13
916,85,1,2,27,75
917,43,0,4,30,58
918,81,1,5,26,32
919,37,1,3,26,62
920,34,1,1,25,42
921,51,1,5,26,41
922,67,1,4,23,34
923,66,0,2,24,27
924,57,1,5,21,14
925,74,1,5,28,67
926,90,1,2,26,48
927,35,1,5,27,66
928,32,0,3,24,34
929,66,1,2,26,58
930,84,1,2,24,41
931,34,0,3,21,44
932,32,1,5,27,54
933,43,0,2,25,48
934,51,0,5,26,63
935,84,1,4,26,58
936,24,1,2,29,95
937,43,0,3,22,42
938,52,0,5,23,11
939,74,0,5,25,51
940,66,1,4,26,58
941,77,0,3,25,47
942,30,1,5,23,41
943,30,0,1,27,52
944,56,1,3,27,81
945,71,0,1,22,50
946,51,0,3,24,54
947,46,1,5,28,60
948,53,1,4,22,37
949,38,0,4,23,53
950,81,1,4,21,46
951,82,0,4,23,54
952,30,0,3,28,59
953,40,1,1,28,72
954,85,1,2,29,69
955,88,0,2,24,61
956,44,1,3,25,63
957,63,0,2,25,40
958,42,0,1,27,74
959,37,0,5,24,27
960,56,0,5,25,47
961,25,1,4,27,35
962,64,1,3,26,57
963,62,0,4,26,46
964,78,1,3,27,32
965,59,0,1,29,55
966,82,1,2,23,49
967,76,1,5,21,29
968,56,0,3,21,30
969,74,1,1,29,81
970,29,1,4,21,21
971,72,1,2,24,77
972,81,1,2,26,46
973,59,0,1,28,65
974,35,0,4,24,55
975,28,1,4,25,30
976,31,1,1,28,62
977,85,0,3,24,42
978,45,1,5,22,30
979,37,1,1,27,30
980,45,1,3,23,63
981,79,1,3,26,62
982,19,1,2,22,37
983,24,0,1,22,46
984,53,0,4,26,51
985,34,0,4,23,56
986,80,0,4,23,36
987,61,1,1,27,67
988,50,0,2,27,51
989,18,0,5,23,37
990,32,0,2,22,29
991,35,0,2,30,57
992,75,0,5,25,47
993,79,0,5,21,30
994,48,1,4,26,38
995,25,1,4,23,47
996,27,0,5,27,43
997,59,0,2,24,60
998,87,1,5,24,36
999,68,1,2,29,75
1000,72,1,1,27,60
